Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,35.252045,37.375847,3.447386,1.790877,3.775763,8.633431,20.924442
1,1.0,38.702122,38.889351,2.631402,1.803865,3.865995,9.016301,22.312239
1,3.0,41.535824,40.848473,2.976975,1.768429,3.702844,8.425852,20.346918
1,4.0,41.654003,39.847752,3.229536,1.771538,3.708401,8.430535,20.337904
1,5.0,42.917843,40.34972,2.382162,1.799095,3.871553,9.079008,22.597265
1,6.0,43.55687,42.086788,2.605195,1.775881,3.770794,8.709635,21.327135
1,7.0,45.571297,42.751354,3.096911,1.864456,4.04777,9.478784,23.411484
1,9.0,47.007843,39.294804,2.239856,1.798342,3.863075,9.028784,22.373608
1,10.0,43.08131,42.208118,2.355554,1.690021,3.488268,7.910449,19.174948
1,11.0,43.203941,43.343891,2.733572,1.873348,4.114871,9.768034,24.466055
1,12.0,40.796944,44.755417,2.949348,1.835764,3.971598,9.307534,23.064789
1,14.0,33.299507,52.913189,2.739193,1.750562,3.659806,8.34535,20.246687
1,15.0,32.984673,50.21159,2.253775,1.782159,3.811032,8.892589,22.053402
1,16.0,31.743237,48.024021,2.542506,1.792959,3.831949,8.908196,21.958088
1,18.0,25.066969,52.480484,2.778617,1.818619,3.91998,9.187448,22.837624
1,22.0,25.542711,54.548985,2.143554,1.644628,3.267644,7.089267,16.38991
1,23.0,22.280962,54.283691,1.736789,1.591277,3.170321,7.0296,16.825138
1,24.0,17.702093,55.313004,2.607038,1.768137,3.707127,8.453631,20.469326
1,25.0,19.373253,55.692684,2.504416,1.579939,3.091965,6.694163,15.608434
1,26.0,17.15744,56.280605,2.231624,1.712255,3.594277,8.280827,20.352354
1,27.0,22.618179,56.047543,2.212357,1.653964,3.365977,7.556852,18.205143
1,28.0,24.275089,58.706371,2.281213,1.577892,3.06862,6.584744,15.193069
1,29.0,26.273718,59.875351,2.427549,1.560771,3.020843,6.467207,14.910474
1,33.0,34.746784,52.072689,1.680303,1.438999,2.623494,5.324059,11.717735
1,34.0,33.298943,55.911926,1.79277,1.589062,3.137888,6.850632,16.082157
1,36.0,30.805237,65.162117,2.139385,1.580084,3.068259,6.564511,15.087754
1,37.0,31.305679,66.823006,1.419389,1.526479,2.942522,6.279381,14.410279
1,40.0,33.409313,69.29686,1.032966,1.35339,2.429789,4.994403,11.408179
1,43.0,35.04179,77.1931,0.899518,1.244626,2.063318,3.887296,8.166179
2,1.0,40.279186,41.994484,2.696965,1.767027,3.733016,8.60014,21.063345
2,2.0,40.064034,42.55769,2.482774,1.726984,3.606215,8.246978,20.107109
