Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,183.969482,80.261787,2.482685,1.615367,3.206001,7.024066,16.539511
1,3.0,173.687225,80.603966,2.710847,1.699334,3.487772,7.831823,18.757236
1,4.0,177.49884,78.737099,2.953175,1.627559,3.200652,6.883267,15.803018
1,5.0,175.525391,79.57869,2.720123,1.616619,3.14366,6.675711,15.132851
1,6.0,172.354813,78.442017,3.003619,1.606962,3.129247,6.683111,15.287327
1,7.0,176.374954,81.652367,2.992814,1.654437,3.286432,7.135374,16.54138
2,0.0,325.911987,131.998703,2.146883,1.467032,2.756159,5.824135,13.452711
2,1.0,323.269989,132.621506,2.225815,1.534669,2.91874,6.154593,14.043223
2,2.0,326.136963,132.733063,2.767734,1.599314,3.125474,6.714427,15.467999
2,3.0,326.435364,132.280853,2.613432,1.480041,2.720987,5.533356,12.156586
2,4.0,329.515533,132.240265,2.631064,1.624389,3.18639,6.840582,15.698405
2,5.0,331.223572,133.490433,2.496622,1.585156,3.129603,6.859612,16.233492
2,6.0,330.803009,132.694855,2.575908,1.500939,2.79965,5.789329,12.962869
2,7.0,333.119446,130.901764,2.086489,1.659268,3.390925,7.61999,18.290424
2,8.0,332.66098,132.257385,2.513699,1.587185,3.09809,6.662376,15.380809
2,9.0,332.008514,131.332581,2.146021,1.662084,3.386027,7.59095,18.23012
2,10.0,335.4552,132.606674,1.967763,1.543282,2.94159,6.189671,14.038489
2,11.0,335.082581,130.837555,2.405391,1.58284,3.107,6.748669,15.785946
2,12.0,332.042206,128.506302,2.01317,1.530087,2.990012,6.542276,15.542397
2,13.0,330.303802,126.377563,2.505876,1.570581,3.047318,6.531514,15.068974
2,14.0,328.266602,126.868965,2.417785,1.59765,3.13633,6.784805,15.769765
2,15.0,324.675568,125.267059,2.62432,1.452943,2.621352,5.218773,11.209681
2,16.0,325.537567,125.485306,2.464073,1.556243,2.984901,6.293602,14.214556
2,17.0,326.290039,127.053261,2.202661,1.42267,2.535509,5.001035,10.669765
2,19.0,328.374084,125.259514,2.281374,1.420931,2.538434,5.027955,10.790811
2,20.0,327.923279,122.952385,2.870829,1.657835,3.396827,7.694391,18.719748
2,21.0,324.772675,120.567406,2.311621,1.548793,2.980782,6.349867,14.595702
2,22.0,323.831451,120.224709,2.830687,1.585193,3.055735,6.476845,14.751554
2,23.0,323.20224,120.100281,2.321275,1.598356,3.1555,6.875676,16.091303
2,24.0,323.820465,117.25209,2.153136,1.475856,2.696589,5.436876,11.823668
