Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,319.604401,204.120453,3.880752,1.987284,4.83483,13.068161,38.013515
1,1.0,318.101746,198.68634,4.669521,2.028007,5.021321,13.821938,40.964603
1,2.0,320.58316,200.446167,4.053907,1.851151,4.179205,10.497663,28.519617
1,4.0,315.388794,201.231308,4.479954,2.045705,5.072407,13.94432,41.216938
1,6.0,309.897278,204.625687,3.118709,2.063156,5.091677,13.893231,40.714111
1,9.0,293.78598,204.60495,3.589721,1.862555,4.215892,10.578806,28.629614
1,11.0,295.051544,212.406204,3.742636,1.968243,4.785001,13.008212,38.21875
1,13.0,291.372162,207.366348,3.122627,1.938752,4.723355,13.011329,39.051083
1,15.0,298.303284,206.8647,3.585094,1.719949,3.676057,8.816473,23.063583
1,16.0,297.202026,205.959015,1.898451,1.735049,4.079951,11.290372,34.85466
1,17.0,300.853455,210.182114,3.589581,1.7002,3.653559,8.992979,24.687109
1,18.0,300.802429,210.401672,3.609082,1.766122,3.904083,9.713929,26.334383
1,19.0,296.318604,209.536926,3.699735,1.856722,4.26526,10.977574,30.662546
1,21.0,299.559692,211.639771,4.615771,1.945024,4.670145,12.593027,36.932575
1,22.0,301.408783,212.478256,4.666316,2.030332,5.046659,13.95733,41.563286
1,24.0,299.66275,203.381805,3.158512,1.734607,3.694358,8.845467,23.269466
1,26.0,306.721008,203.331955,4.354153,2.220615,5.759099,16.271259,48.830906
1,27.0,306.426758,200.581635,3.28878,1.917362,4.540153,12.069623,34.887768
1,28.0,307.464874,201.331436,3.755507,1.991416,4.887052,13.38708,39.545834
1,29.0,307.166504,205.174957,3.881424,1.800256,4.024046,10.112795,27.6943
1,30.0,306.197327,204.454041,3.574714,2.021049,5.002742,13.813197,41.183979
1,32.0,298.474213,203.999084,4.523994,2.02202,4.856199,12.830931,36.303043
1,34.0,292.661682,202.004089,2.758389,2.096323,5.558818,16.507996,52.640396
2,0.0,434.485107,408.225647,1.626201,1.323883,2.352518,5.010699,12.713269
2,4.0,450.945648,406.593048,2.013061,1.837173,4.399309,12.015491,35.882778
3,1.0,406.661743,346.015594,1.103246,1.382525,2.937381,7.820911,24.138149
3,5.0,387.400635,338.328094,1.512073,1.602607,3.349449,8.095185,21.829308
4,3.0,384.900879,510.793121,1.007813,1.377704,2.639034,6.18753,17.000031
4,7.0,408.013367,510.415039,1.527411,1.441168,2.76649,6.332685,16.798611
4,11.0,402.789276,510.37326,1.267886,1.241378,2.163156,4.745032,12.915925
5,4.0,447.085938,96.643112,1.645287,1.445715,2.726273,5.906011,14.325631
5,7.0,452.966888,83.007431,1.637324,1.655565,3.714108,9.736514,28.329334
6,5.0,347.180725,59.726189,1.448926,1.447895,2.921045,7.259131,21.309496
6,7.0,350.062225,51.245251,1.726787,1.639903,3.614261,9.398377,27.591688
7,5.0,305.684601,188.860535,1.666059,1.583816,3.345655,8.240468,22.742887
7,8.0,295.54068,201.296082,3.265614,2.030137,5.087153,14.232811,42.928955
8,5.0,428.046906,273.916748,1.695327,1.710327,4.102417,11.55882,35.889736
8,8.0,439.514038,270.846191,1.685275,1.54737,3.328571,8.677523,26.016661
9,6.0,474.278168,73.870338,1.77969,1.56472,3.307642,8.227021,23.020565
9,7.0,477.902008,75.059929,1.533541,1.620483,3.669745,9.864172,29.681585
10,6.0,257.715332,224.328339,1.546854,1.631111,3.64482,9.547704,27.822779
10,8.0,256.393585,222.538773,1.396648,1.254547,2.04063,3.735895,7.59236
11,6.0,474.141998,271.427734,1.768848,1.485351,2.985573,7.071933,19.031925
