Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,2.0,0.690095,28.49015,0.345934,0.62454,0.666855,0.726699,0.81133
1,4.0,4.730452,34.004021,1.159466,1.262605,2.05839,3.728776,7.372761
2,7.0,52.517517,10.804524,0.867563,1.189517,1.898677,3.457991,7.098642
2,11.0,67.705292,9.00919,1.494612,1.508651,2.901982,6.271254,14.774787
3,8.0,24.322815,4.620551,1.27044,1.307921,2.175419,4.043226,8.258906
3,10.0,33.552383,0.995636,0.446292,0.83359,1.233164,2.255168,5.011416
4,9.0,37.076641,15.69236,1.09451,1.229359,2.026035,3.818682,8.051331
4,12.0,33.634853,32.072033,1.060035,1.371376,2.448373,4.941794,10.998304
4,14.0,43.5215,33.422394,1.231569,1.411934,2.504849,4.920857,10.467632
5,15.0,66.350372,50.730507,0.941276,1.253777,2.068506,3.897782,8.256582
5,17.0,57.20319,49.378159,0.778333,1.05618,1.456291,2.180419,3.529745
5,20.0,51.525219,44.922134,1.072515,1.288714,2.195176,4.236351,9.059275
5,24.0,42.48539,31.668955,0.88926,1.277364,2.224367,4.436615,9.850179
5,28.0,44.375286,21.655546,1.106108,1.36139,2.363673,4.563076,9.569409
5,30.0,45.206329,16.237043,0.931095,1.144947,1.743643,2.965095,5.560939
5,33.0,54.296844,1.027334,0.626682,0.992959,1.426255,2.280287,4.008636
6,16.0,68.954727,21.828423,2.354243,1.682236,3.444995,7.762439,18.739136
6,18.0,70.604782,32.079296,1.535294,1.457392,2.670649,5.414034,11.831186
6,22.0,55.41679,21.823833,1.178199,1.370095,2.433721,4.868245,10.689633
6,25.0,53.728157,32.604809,0.991828,1.247938,2.023182,3.675868,7.355492
7,17.0,72.421677,1.593343,0.635031,1.249636,2.093445,4.090307,9.071086
7,19.0,74.876915,7.03513,0.485046,1.117271,1.573874,2.408495,3.994341
7,23.0,59.1973,0.567213,0.376111,0.874991,1.196309,1.815881,3.022409
7,27.0,71.183334,2.331888,1.433262,1.384255,2.426564,4.745389,10.143173
8,18.0,71.17379,49.324326,1.765175,1.579725,3.103377,6.770003,15.951496
8,20.0,68.626549,49.830109,1.107898,1.31494,2.266537,4.433708,9.628589
9,23.0,37.387951,85.325523,0.912211,1.204545,1.954538,3.637133,7.627948
9,24.0,41.449837,81.770752,1.09514,1.402182,2.592168,5.420671,12.43452
10,26.0,68.809853,72.823723,0.910527,1.313605,2.367162,4.957437,11.6648
10,29.0,62.787441,79.760849,0.790075,1.144827,1.806792,3.274478,6.701076
10,33.0,75.003716,78.036049,0.58202,1.002729,1.57057,2.835393,5.754567
11,32.0,63.716747,106.235794,0.758585,1.141549,1.820879,3.394201,7.27694
11,36.0,61.859489,101.115936,1.189686,1.254535,2.039544,3.691554,7.314066
12,36.0,75.086617,45.541748,0.512096,0.782623,0.947412,1.229898,1.72827
12,40.0,75.199387,29.787472,0.483399,0.806714,1.037275,1.486679,2.39629
13,37.0,64.349602,53.421894,1.074478,1.324925,2.299907,4.523304,9.836084
13,41.0,75.064613,57.661007,0.713955,1.073647,1.691965,3.092627,6.42147
14,38.0,0.856628,16.779692,0.558016,0.847714,1.183269,1.933609,3.703499
14,42.0,1.060166,26.211971,0.583382,1.013011,1.61523,3.00933,6.395826
15,43.0,68.604256,4.498651,1.244874,1.388443,2.541075,5.262234,11.954149
15,46.0,55.099998,2.534969,1.041691,1.255583,2.073942,3.8782,8.075713
16,44.0,30.92807,91.656387,0.904663,1.056876,1.535999,2.523405,4.679189
16,48.0,32.431625,115.225883,0.894708,1.305781,2.382369,5.045528,11.939792
17,46.0,75.374603,80.758575,0.335546,0.558813,0.580485,0.611134,0.654478
17,48.0,67.926727,82.511665,0.893244,1.234502,2.066303,3.953274,8.463408
18,47.0,68.603378,57.195293,1.642124,1.500039,2.828794,5.940938,13.53854
18,50.0,75.076965,49.496864,0.346015,0.799042,1.374875,3.066679,8.091609
19,49.0,53.206169,109.345291,1.058677,1.201555,1.881705,3.289653,6.344847
19,53.0,52.811356,119.628006,0.945708,1.236129,2.096088,4.131311,9.226726
19,56.0,55.29356,120.730606,0.980634,1.265601,2.140741,4.109446,8.735483
19,60.0,54.594986,110.234818,1.477902,1.53062,2.913243,6.127882,13.864349
20,51.0,33.152767,0.782621,0.674623,0.914761,1.23307,1.828748,2.968892
20,54.0,30.922173,3.235507,1.0981,1.316494,2.277607,4.46508,9.689034
21,53.0,53.333805,1.246169,0.700712,1.039589,1.39561,2.042371,3.270615
21,56.0,67.758858,11.612189,1.048946,1.410271,2.633461,5.552593,12.804189
21,59.0,66.657326,12.309942,1.239295,1.252539,2.059931,3.833163,7.943932
22,54.0,40.526531,19.725279,0.964096,1.196567,1.92331,3.549472,7.408607
22,57.0,50.472553,8.097866,1.216693,1.323954,2.211715,4.060632,8.025967
23,58.0,39.997406,84.024994,1.11673,1.476052,2.872551,6.271786,14.824398
23,62.0,44.390213,70.756638,3.33517,1.699778,3.462857,7.700198,18.242416
23,63.0,41.464931,69.423264,3.501289,1.734237,3.556109,7.923668,18.759806
23,64.0,41.145496,68.112251,2.993394,1.745504,3.650083,8.340666,20.308224
23,65.0,41.319416,66.693245,3.294774,1.790172,3.78619,8.698606,21.203562
23,67.0,43.680241,67.857376,3.055298,1.815314,3.89557,9.07666,22.403688
23,68.0,44.081436,68.482803,3.46328,1.83794,3.967761,9.276304,22.942123
23,69.0,45.507858,64.790848,3.104553,1.812995,3.872119,8.964334,21.968086
23,70.0,44.429295,65.068199,2.983667,1.702933,3.484105,7.791653,18.575977
23,71.0,43.078053,63.700745,3.043509,1.848645,4.022173,9.483181,23.656897
23,72.0,42.004204,67.34948,2.963154,1.792022,3.839669,8.965034,22.228182
23,73.0,42.503605,65.067459,3.259895,1.800828,3.833628,8.85965,21.696871
23,74.0,43.511337,67.625557,3.670012,1.859654,4.036407,9.47545,23.521566
23,75.0,45.398411,72.219513,2.560421,1.613275,3.204576,7.039086,16.646999
23,76.0,47.047375,73.173798,2.519932,1.731447,3.616047,8.268023,20.161978
23,78.0,49.506969,70.217323,3.345089,1.837106,3.947434,9.173561,22.539677
23,79.0,50.310974,72.185646,2.685922,1.75145,3.681243,8.444262,20.60486
23,80.0,52.586048,69.890495,2.987884,1.703586,3.47985,7.766634,18.476845
23,82.0,53.731453,72.164619,2.905113,1.781307,3.7839,8.763135,21.568609
23,83.0,52.436321,68.79776,2.929287,1.814281,3.882268,9.013794,22.174625
23,84.0,51.104813,73.04744,2.425554,1.695625,3.48564,7.855845,18.89958
23,85.0,50.463757,70.165916,2.977319,1.781719,3.750868,8.572424,20.77544
23,88.0,43.666222,70.73587,3.608414,1.795802,3.798818,8.72068,21.230028
23,90.0,46.281666,70.712097,3.461933,1.825019,3.896325,8.997225,21.973083
23,91.0,48.344772,68.042381,3.113618,1.727611,3.58304,8.123744,19.630228
23,92.0,49.546143,67.083534,2.781591,1.789059,3.786548,8.694224,21.137762
23,93.0,50.392502,67.673058,3.255005,1.845884,3.975016,9.250532,22.751673
23,97.0,62.69595,56.337898,1.174624,1.341802,2.298183,4.379357,9.08098
23,100.0,46.705349,63.166229,1.159679,1.370363,2.480232,5.08487,11.483603
23,103.0,42.212078,63.553833,0.873724,1.100206,1.628675,2.736256,5.216532
24,76.0,47.028034,69.784599,2.77772,1.81661,3.922686,9.207297,22.900585
24,77.0,48.009388,70.908592,2.714975,1.750667,3.701258,8.555621,21.042744
25,78.0,48.6278,68.067307,2.895117,1.788649,3.809012,8.829805,21.727301
25,79.0,49.474258,68.824799,3.052851,1.794243,3.811841,8.804262,21.582186
26,85.0,49.602337,67.0709,2.88688,1.747061,3.647007,8.298031,20.071375
26,86.0,46.152996,66.809914,2.930112,1.765394,3.705222,8.470158,20.581915
26,87.0,44.098652,67.722542,3.235171,1.786628,3.803186,8.820018,21.732697
27,95.0,49.372101,99.185677,1.303721,1.291466,2.118247,3.842636,7.563969
27,99.0,43.095242,84.690269,0.720315,1.134913,1.772457,3.144295,6.266232
28,96.0,10.060728,0.94785,0.432446,0.788667,1.076442,1.708497,3.206634
28,98.0,16.69747,1.424011,0.573418,1.171574,1.943607,3.937119,9.41653
28,101.0,10.860695,18.258369,1.055436,1.231935,2.048393,3.91866,8.446634
29,97.0,19.777174,27.051327,0.974415,1.264936,2.138964,4.109025,8.780866
29,99.0,11.343359,28.411858,0.721153,1.211929,2.126042,4.409173,10.422929
30,100.0,68.366928,8.01967,1.316008,1.3633,2.375558,4.608027,9.720359
30,103.0,65.266388,3.827187,1.10652,1.227424,1.992427,3.655421,7.468481
