Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,497.265747,6.84056,1.066458,1.329922,2.393527,4.961429,11.472605
1,4.0,504.43396,13.662642,1.261651,1.461484,2.760176,5.886643,13.767646
1,8.0,493.477356,17.457842,0.839353,1.066998,1.535739,2.508265,4.675301
1,12.0,509.356293,24.494259,1.01668,1.291151,2.145217,3.952502,7.910029
1,13.0,510.959229,18.842234,0.49409,0.968308,1.475431,2.608319,5.252069
1,15.0,509.429474,10.399888,0.995341,1.185084,1.846956,3.252483,6.409821
2,0.0,500.382568,62.475159,0.520112,0.844137,0.984407,1.200238,1.544512
2,3.0,495.470245,59.648453,1.028029,1.154494,1.73574,2.90988,5.40538
2,7.0,504.340576,57.758492,1.163917,1.393398,2.482194,4.960239,10.855402
2,9.0,503.609802,55.599953,1.070757,1.214501,1.939298,3.517379,7.159213
2,12.0,503.083771,39.457165,0.996358,1.264032,2.138499,4.149666,9.040416
2,15.0,486.68045,42.468174,1.198257,1.399608,2.558232,5.287369,12.013131
2,19.0,508.279449,52.375114,1.124107,1.242438,1.960854,3.400385,6.365578
2,23.0,498.882965,54.192032,1.376224,1.598001,3.240169,7.303306,17.699623
3,0.0,273.596008,85.242203,1.369783,1.435615,2.574302,5.119458,11.045927
3,4.0,286.755005,81.357605,0.760212,1.186685,1.993453,3.939911,8.907207
3,8.0,299.832031,64.958763,0.820059,1.200108,1.941488,3.562485,7.273918
3,10.0,300.377808,62.99575,0.996481,1.307029,2.256934,4.41944,9.556652
4,0.0,394.555664,96.467194,0.954699,1.22568,1.96805,3.586957,7.331214
4,4.0,409.256714,110.87252,1.275146,1.474999,2.795237,5.946803,13.798365
4,7.0,396.245148,105.945946,0.967207,1.410668,2.682987,5.828556,13.958056
4,11.0,408.684479,100.588318,0.82604,1.16493,1.823269,3.250025,6.534057
4,13.0,405.483063,101.509453,1.160427,1.441846,2.687872,5.649673,13.010422
5,0.0,341.329834,100.396919,2.521024,1.514814,2.838395,5.892784,13.241562
