Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,288.847809,122.43235,1.89729,1.576501,3.032364,6.415239,14.583388
1,1.0,288.545532,122.037575,1.58691,1.313819,2.252926,4.355027,9.284906
1,2.0,288.6604,121.92939,1.805738,1.50658,2.812509,5.789483,12.818467
1,3.0,288.466034,121.525826,1.851113,1.527335,2.928737,6.226881,14.278168
1,5.0,288.556946,122.141335,1.711725,1.548927,2.943202,6.147126,13.756727
1,8.0,288.554535,121.754753,2.098369,1.403009,2.460909,4.786291,10.107488
1,10.0,288.326477,121.775902,1.987385,1.408785,2.476774,4.79806,10.024667
1,11.0,287.592773,122.704659,1.448728,1.325775,2.226988,4.163503,8.502085
1,13.0,288.115143,121.016037,1.703504,1.411675,2.528458,5.034091,10.875183
1,16.0,289.080627,122.658531,1.609437,1.434298,2.669167,5.622977,13.028446
1,17.0,289.094604,122.491173,2.208894,1.4618,2.686155,5.475802,12.076159
1,18.0,288.824829,122.410835,2.352617,1.438311,2.575652,5.096382,10.895654
1,19.0,289.069244,121.633003,1.602466,1.520491,2.947061,6.396369,15.092443
1,21.0,289.244629,122.239784,1.67624,1.315065,2.197339,4.073258,8.227486
1,22.0,288.791382,122.487442,1.933379,1.580788,3.061309,6.520597,14.90277
1,24.0,288.062317,121.643822,1.326295,1.392794,2.550814,5.341521,12.395171
1,25.0,289.425232,121.954063,1.5466,1.39796,2.553854,5.292209,12.097064
1,26.0,289.696198,122.84021,1.338368,1.396753,2.464279,4.810153,10.149385
1,27.0,289.249603,121.984512,1.709504,1.391477,2.469096,4.907676,10.669517
1,28.0,290.507202,121.995956,1.628899,1.543005,3.007283,6.552718,15.519001
1,29.0,288.756073,122.354958,1.369421,1.352189,2.341683,4.53206,9.579474
1,30.0,288.816101,121.827759,1.430446,1.532801,3.007496,6.622586,15.849276
1,33.0,290.336243,121.464272,2.391121,1.526241,2.852568,5.862724,12.943589
1,35.0,289.826508,122.273651,1.743646,1.478993,2.75798,5.739634,12.999852
1,36.0,289.511047,122.414268,1.760476,1.513956,2.836964,5.876915,13.138149
1,37.0,289.766022,122.367935,1.915668,1.633465,3.272124,7.208686,16.998409
1,38.0,289.528168,122.390633,1.727083,1.397413,2.423172,4.61428,9.45092
1,39.0,290.124695,122.087822,1.843424,1.433658,2.598065,5.244084,11.506129
1,41.0,289.507538,121.676369,1.807346,1.474982,2.776339,5.876673,13.608746
1,42.0,290.254089,122.048668,1.577112,1.61012,3.255649,7.285221,17.498842
1,43.0,290.103394,122.320877,1.71178,1.600584,3.127276,6.718769,15.471987
1,44.0,290.766846,122.241364,1.474216,1.418767,2.520223,4.955754,10.561674
1,46.0,290.434662,121.950806,1.591546,1.50697,2.834878,5.913179,13.348932
1,47.0,290.711487,122.156403,1.821999,1.445213,2.657778,5.486771,12.387516
1,49.0,290.521332,122.587448,1.550842,1.420562,2.515683,4.928193,10.453007
1,50.0,289.899261,122.342842,1.642396,1.467285,2.717681,5.614136,12.598286
1,51.0,289.372498,122.370399,1.592061,1.356337,2.286466,4.2337,8.439613
1,52.0,290.306763,122.189568,1.748982,1.400859,2.460126,4.801337,10.196218
1,53.0,290.425903,122.087532,1.450496,1.415656,2.576163,5.263505,11.770263
1,54.0,290.7034,122.101845,2.673323,1.457667,2.655354,5.375242,11.817195
1,55.0,289.921936,121.657127,1.707901,1.453128,2.685201,5.586551,12.758307
1,56.0,290.723907,121.910599,1.449424,1.443346,2.641173,5.366893,11.808881
1,58.0,289.713989,122.191261,1.839123,1.471637,2.710787,5.538634,12.256438
1,60.0,290.264343,121.723587,1.912384,1.526014,2.840944,5.789563,12.615339
2,0.0,61.987801,135.103928,3.137355,1.693254,3.466315,7.770953,18.598738
2,1.0,66.802063,133.222778,3.547457,1.730302,3.609802,8.242592,20.07156
3,0.0,499.202698,254.14743,1.101389,1.268364,2.082431,3.811021,7.636156
3,4.0,488.165527,283.028229,1.110926,1.382487,2.491185,5.033283,11.102467
4,0.0,98.057404,297.984711,1.955954,1.523372,2.898506,6.127821,14.02446
4,1.0,98.062347,298.185394,2.517194,1.577991,3.087414,6.683356,15.59579
4,2.0,98.195312,297.53598,1.865748,1.501188,2.791866,5.735463,12.708333
4,3.0,97.73555,298.074921,2.294081,1.445574,2.597692,5.143763,10.974226
