Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,1.0,38.235596,26.630684,3.690767,1.618194,3.175329,6.831016,15.725843
1,2.0,37.535435,27.726486,3.507618,1.538554,2.879813,5.89627,12.904066
1,3.0,39.2122,27.165525,3.376759,1.575002,3.026179,6.398067,14.541513
1,4.0,38.721302,29.057959,3.57696,1.584634,3.060034,6.485808,14.728209
1,6.0,38.750702,29.663746,3.311456,1.552318,2.952251,6.178578,13.89709
1,7.0,39.801311,29.771709,3.595293,1.593377,3.095163,6.609695,15.145603
1,8.0,40.407375,31.351124,3.99649,1.670333,3.343703,7.307073,17.02536
1,9.0,42.44099,32.573795,3.409762,1.567084,2.988294,6.248637,13.998968
1,10.0,41.703827,35.046734,3.624268,1.648792,3.304897,7.28262,17.197731
1,11.0,41.436714,37.075581,3.391331,1.628144,3.196963,6.859764,15.705734
1,13.0,41.308094,40.263309,3.430547,1.606868,3.125105,6.649802,15.112185
1,14.0,41.99107,41.461102,3.366711,1.646201,3.278687,7.163385,16.761703
1,16.0,39.483406,43.454102,3.279121,1.626384,3.218417,6.995987,16.290644
1,17.0,39.131393,43.673004,3.300242,1.611731,3.144608,6.718197,15.347418
1,18.0,38.161114,46.104053,3.695282,1.64298,3.259635,7.076627,16.403286
1,19.0,37.573513,46.665047,3.874044,1.683508,3.372842,7.350558,17.036646
1,20.0,38.605492,47.49295,3.624592,1.638422,3.229543,6.963618,16.053474
1,21.0,37.964699,47.775173,3.236976,1.543796,2.92242,6.093819,13.673866
1,22.0,38.933701,48.273224,3.402044,1.695674,3.489357,7.883214,19.039757
1,23.0,38.704239,50.68111,3.642015,1.668017,3.32563,7.222465,16.697605
1,24.0,38.261295,50.698761,3.744757,1.66142,3.302005,7.155686,16.523771
1,28.0,40.333069,51.783352,3.538242,1.66533,3.3278,7.267811,16.94828
1,29.0,39.441021,51.046154,3.451638,1.687856,3.429474,7.629629,18.135736
1,30.0,38.241474,52.261856,3.838355,1.70576,3.489757,7.803823,18.61883
1,31.0,36.720024,52.89373,3.851477,1.658588,3.302826,7.183466,16.660006
1,32.0,37.421967,52.593754,3.951747,1.68734,3.392241,7.427869,17.314674
1,33.0,36.350353,51.166008,3.459217,1.652415,3.293736,7.186772,16.75819
1,34.0,34.593197,51.397224,3.639947,1.648971,3.259455,7.031593,16.180017
1,35.0,32.57967,50.191593,3.356544,1.550609,2.932454,6.08515,13.5338
1,36.0,32.627937,48.76815,3.877606,1.61967,3.16022,6.743274,15.379822
1,37.0,32.586506,48.423435,4.100157,1.629171,3.175309,6.744111,15.265516
1,38.0,31.355909,48.966,3.617243,1.630357,3.240226,7.083642,16.609121
1,39.0,30.678478,50.377621,4.378772,1.720644,3.50172,7.739433,18.168013
1,40.0,31.370972,52.457088,3.54776,1.625235,3.18483,6.82146,15.598557
1,42.0,31.267857,49.154392,3.613946,1.601441,3.110911,6.628051,15.123717
1,43.0,28.592276,51.239536,3.521153,1.640339,3.249205,7.042917,16.306593
1,44.0,30.192083,52.298859,3.297021,1.532072,2.884167,5.985701,13.381731
1,45.0,31.271822,53.236511,3.212792,1.598009,3.104889,6.619623,15.121499
1,46.0,32.275833,51.258553,3.758338,1.662283,3.314162,7.211699,16.727051
1,47.0,33.439785,50.572628,3.545158,1.56495,2.994152,6.306878,14.280153
1,48.0,34.101395,49.415115,3.42738,1.568726,3.012059,6.368398,14.472678
1,49.0,33.248154,48.245937,3.557254,1.626029,3.210363,6.959609,16.163731
1,50.0,33.534214,45.754688,3.788794,1.698913,3.447867,7.616181,17.874477
1,52.0,32.841976,45.330704,3.409906,1.646637,3.282434,7.177105,16.800392
1,53.0,31.762533,45.087242,3.472425,1.573408,3.020067,6.369014,14.403811
1,54.0,33.285095,44.928135,3.196655,1.568672,3.005581,6.334752,14.344618
1,55.0,35.094669,46.932224,3.137068,1.583761,3.102293,6.728914,15.730898
1,56.0,35.570492,47.053364,3.176061,1.624157,3.204636,6.929238,16.008385
1,57.0,35.135181,48.723728,3.472787,1.669701,3.356222,7.377159,17.301651
1,58.0,33.487076,50.218788,3.929259,1.672749,3.362566,7.395472,17.381491
1,59.0,34.277576,48.590771,3.502929,1.63311,3.221678,6.956909,16.055105
1,60.0,34.319096,48.573059,2.473644,1.516317,2.823262,5.782125,12.735254
