Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,399.129181,135.227249,3.888866,1.729473,3.557348,7.961543,18.935686
1,1.0,396.77533,133.812439,3.896265,1.751653,3.649363,8.275762,19.94515
1,2.0,395.547333,134.383301,4.061168,1.768683,3.685423,8.321385,19.901024
1,3.0,396.390686,133.138214,4.171144,1.661007,3.292912,7.1117,16.358423
1,4.0,397.619476,131.619675,1.703204,1.450913,2.637766,5.302341,11.499373
2,0.0,386.86972,155.001938,3.702373,1.600502,3.140499,6.793085,15.791624
2,1.0,389.579193,153.316055,4.0572,1.610007,3.132387,6.670311,15.190554
2,2.0,391.439819,155.339569,4.327858,1.607191,3.109955,6.57626,14.859385
2,3.0,392.580261,154.057785,4.098734,1.627114,3.19695,6.87784,15.824961
2,4.0,396.416962,154.543777,4.24608,1.637608,3.228951,6.962131,16.039619
2,5.0,397.371277,153.689072,4.071081,1.601385,3.105224,6.593852,14.981318
2,6.0,401.517181,154.041519,3.802433,1.661665,3.339185,7.348529,17.275816
2,7.0,404.619537,155.214752,4.097401,1.64715,3.268571,7.094158,16.447021
2,8.0,406.173767,154.348846,4.179824,1.657745,3.301934,7.188822,16.712652
2,9.0,404.748138,155.642288,3.48536,1.578373,3.03859,6.420778,14.543036
3,3.0,312.682587,156.527252,4.268377,1.638197,3.223856,6.929721,15.902255
3,4.0,313.340393,157.846115,4.215977,1.645181,3.253491,7.033026,16.239632
3,6.0,307.300385,156.800293,4.147312,1.585013,3.050668,6.437772,14.553188
3,7.0,306.854156,158.465637,3.935612,1.54218,2.903595,6.002157,13.314832
3,8.0,306.649353,154.062439,3.93275,1.586685,3.063422,6.484329,14.693498
3,9.0,306.826111,155.154617,4.107238,1.651686,3.290988,7.17536,16.710527
3,10.0,307.041962,155.554749,3.764219,1.619718,3.193388,6.911901,16.022211
3,11.0,306.651428,156.643539,4.282809,1.569017,2.979401,6.192325,13.777303
3,12.0,309.379913,156.330826,3.991316,1.541863,2.897666,5.972705,13.199454
3,13.0,310.369293,154.602844,4.237428,1.570583,2.995491,6.266359,14.056998
3,14.0,312.660919,154.291565,3.286515,1.622007,3.192194,6.87752,15.829576
3,15.0,314.623993,150.60231,4.337786,1.588857,3.0524,6.415605,14.42241
3,16.0,312.782867,152.205063,3.460031,1.62219,3.194178,6.893787,15.917188
3,17.0,310.716644,154.617935,4.118836,1.602898,3.098959,6.548457,14.782871
3,18.0,311.803741,151.713135,3.961491,1.630037,3.221976,6.984345,16.206385
3,19.0,312.826416,151.297028,3.730241,1.634614,3.238024,7.033916,16.358679
3,20.0,310.616516,150.507904,4.223037,1.574524,3.005051,6.282341,14.068093
3,21.0,309.664062,150.409286,4.204218,1.570878,2.998974,6.277655,14.082841
3,22.0,312.455658,147.572159,3.013794,1.565429,3.003087,6.339839,14.380478
3,23.0,313.743866,144.430481,3.31914,1.552383,2.952032,6.172288,13.856695
3,24.0,314.685944,141.783875,3.779333,1.521137,2.843256,5.85395,12.974374
3,25.0,315.683716,143.487717,4.28299,1.542706,2.892949,5.939351,13.054707
4,6.0,383.674713,171.436172,4.114789,1.629714,3.195447,6.843126,15.637542
4,7.0,383.866669,172.954788,4.12714,1.65949,3.336922,7.360805,17.371891
4,8.0,385.400574,171.656479,4.567286,1.640871,3.218408,6.878294,15.662934
4,9.0,383.761902,171.76268,3.916959,1.68081,3.398532,7.509895,17.702019
4,10.0,384.677307,170.409988,4.071002,1.624297,3.184253,6.827004,15.636437
4,11.0,386.551453,170.161316,4.03572,1.577125,3.02443,6.367148,14.380765
4,12.0,387.697083,169.816544,4.070922,1.612146,3.155312,6.775299,15.583282
4,14.0,391.304413,175.246292,4.258908,1.631068,3.198325,6.851235,15.669387
5,8.0,389.433441,204.216187,3.605025,1.518479,2.823534,5.764236,12.626655
5,9.0,387.201935,201.548828,4.025789,1.657598,3.304582,7.198588,16.735298
5,10.0,387.439301,199.014633,4.256426,1.77267,3.707087,8.409467,20.221725
5,12.0,387.414215,198.988144,3.79687,1.742425,3.614643,8.168473,19.630203
5,13.0,387.423553,198.384689,4.328876,1.731365,3.561398,7.97609,19.004864
5,14.0,390.118225,198.652985,3.447231,1.687007,3.408188,7.512622,17.647284
5,15.0,390.508148,202.049225,3.515682,1.659276,3.306847,7.198013,16.708292
5,16.0,390.34314,201.856583,4.287213,1.688353,3.397846,7.453999,17.424921
5,17.0,394.267365,201.709717,4.232479,1.712178,3.48828,7.739637,18.274864
5,18.0,397.214783,202.767014,3.882989,1.677454,3.375235,7.414903,17.366505
5,19.0,394.630737,203.337601,4.149959,1.689675,3.410654,7.513816,17.653862
5,20.0,394.395294,202.353653,3.885414,1.751087,3.647212,8.270621,19.936586
5,21.0,393.904633,199.72731,4.217115,1.739395,3.597466,8.099752,19.388758
5,22.0,393.383392,196.671204,4.513785,1.720866,3.505871,7.761243,18.254625
6,9.0,378.535217,183.018066,3.225726,1.488775,2.731953,5.514499,11.967475
6,10.0,379.488861,182.411011,4.244177,1.642665,3.232489,6.942324,15.909589
6,11.0,377.177856,179.664658,4.156108,1.632323,3.204638,6.874872,15.749564
7,11.0,386.248901,244.911392,3.230631,1.497556,2.764759,5.619528,12.292866
7,12.0,384.467163,242.828018,3.837704,1.578721,3.034642,6.407665,14.521111
8,12.0,313.224426,170.656982,2.965683,1.592844,3.071057,6.479656,14.616674
8,13.0,314.944489,167.582703,3.134167,1.663125,3.328779,7.282526,17.003395
8,14.0,316.638855,168.269989,3.022813,1.666842,3.331265,7.276437,16.975168
9,14.0,384.077362,200.614243,3.112394,1.599193,3.118837,6.689863,15.405519
9,15.0,383.648285,201.812988,3.646842,1.680225,3.384345,7.445193,17.469381
9,17.0,380.29425,209.452942,3.988812,1.602919,3.096779,6.539711,14.758839
9,18.0,379.408936,211.724731,3.679697,1.624955,3.199058,6.903604,15.946752
9,20.0,384.303314,214.415634,3.951532,1.625715,3.192214,6.866272,15.807106
9,21.0,383.108643,213.572723,3.86236,1.659662,3.315457,7.238795,16.866198
9,23.0,382.881012,223.178528,3.72128,1.564472,2.988245,6.268898,14.104225
9,24.0,383.885651,222.184204,3.161893,1.538581,2.919822,6.117927,13.811636
9,26.0,388.836456,227.382721,3.738229,1.559563,2.963951,6.183811,13.840946
9,27.0,388.743195,229.181595,3.859303,1.621606,3.195833,6.91615,16.04052
9,28.0,389.342743,231.122177,3.594053,1.634783,3.246185,7.077234,16.529657
9,29.0,390.609344,232.075333,3.785392,1.601248,3.11226,6.628947,15.107679
9,30.0,390.377045,234.374146,3.975157,1.546382,2.90958,6.004044,13.286596
9,31.0,388.728638,234.70285,3.621937,1.581677,3.0571,6.50091,14.846648
9,32.0,387.479767,235.367661,3.981995,1.558864,2.966502,6.20498,13.939447
9,33.0,391.113434,235.377823,3.613624,1.522657,2.839185,5.815771,12.790039
9,34.0,392.262329,231.775986,3.857778,1.634267,3.232432,7.004401,16.230572
9,35.0,394.488281,232.107346,2.715473,1.60608,3.188823,7.00598,16.577562
9,36.0,398.644592,229.709778,3.843194,1.637912,3.24476,7.045377,16.371771
9,37.0,401.480774,233.092041,3.339001,1.583615,3.070017,6.550162,15.009829
9,38.0,405.631165,231.672409,2.475244,1.454764,2.617823,5.174888,10.984262
9,39.0,406.360138,232.980911,1.399911,1.369752,2.369653,4.539526,9.42452
10,16.0,278.11557,231.936523,3.204425,1.557953,2.990954,6.334982,14.445312
10,17.0,278.269409,231.517548,2.892605,1.447717,2.636596,5.347072,11.795896
