Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,152.723434,134.359833,1.10904,1.315463,2.222492,4.159369,8.444798
1,1.0,157.547974,133.587036,0.940067,1.178428,1.8467,3.232513,6.21668
2,0.0,75.46302,234.643585,2.797429,1.860604,4.053396,9.551813,23.78359
2,1.0,75.71991,237.333878,2.662001,1.808323,3.860573,8.935886,21.900135
2,3.0,77.130913,234.432724,2.536565,1.766153,3.721608,8.54836,20.877321
2,4.0,76.801086,235.253311,2.747614,1.705503,3.493392,7.812843,18.601339
2,5.0,78.207855,231.101273,2.33631,1.772038,3.798825,8.910827,22.244387
2,6.0,79.452446,231.628082,2.741599,1.858906,4.036712,9.470418,23.458214
2,7.0,78.765526,230.990631,2.454237,1.704563,3.505358,7.87456,18.829721
2,8.0,77.277596,229.307968,2.89042,1.717174,3.521076,7.872187,18.731575
2,9.0,78.932152,230.281754,2.587188,1.754046,3.715881,8.613028,21.267025
2,10.0,77.452301,230.35968,3.042877,1.781824,3.745739,8.542088,20.644867
2,11.0,77.372589,232.321136,2.930073,1.752789,3.636231,8.1919,19.584011
2,12.0,76.411285,230.333878,2.940124,1.75354,3.647597,8.249582,19.812096
2,13.0,72.745026,231.062027,2.389509,1.712123,3.524027,7.906532,18.848551
2,14.0,74.247963,229.274536,2.827994,1.739197,3.618479,8.211912,19.824068
2,15.0,73.468513,228.905914,2.733711,1.673139,3.371387,7.426703,17.447306
2,16.0,71.214409,227.15184,2.818227,1.822872,3.937848,9.23224,22.908955
2,18.0,69.373825,224.939957,2.907518,1.768326,3.741903,8.621843,21.075752
2,19.0,68.427635,227.302994,3.541597,1.851355,4.000383,9.337057,23.016068
2,20.0,71.255219,227.134247,2.716375,1.805879,3.877676,9.054781,22.417505
2,21.0,75.028252,226.073242,2.686683,1.678976,3.454636,7.835189,19.038202
2,22.0,76.401817,223.324661,3.033788,1.774152,3.721,8.473008,20.462202
2,23.0,78.936127,225.065414,2.417679,1.771357,3.789751,8.862531,22.044571
2,24.0,78.943977,223.182251,2.458821,1.79098,3.860437,9.086622,22.71833
2,25.0,76.410553,226.019012,2.720367,1.687985,3.457304,7.762952,18.605598
2,26.0,72.992546,227.165268,2.488252,1.762443,3.743505,8.702418,21.553255
2,28.0,72.038353,228.160904,2.832653,1.792869,3.853322,9.025193,22.432253
2,29.0,68.619415,229.155533,2.899216,1.750482,3.665523,8.368753,20.312189
2,30.0,67.417824,229.135468,2.986869,1.739743,3.615662,8.19382,19.753963
2,31.0,68.331467,229.361572,3.037505,1.742015,3.619454,8.202913,19.787758
2,34.0,71.044807,221.179749,2.867759,1.662005,3.380144,7.583786,18.266157
2,36.0,70.439171,220.202576,3.154263,1.778051,3.748388,8.596096,20.935549
2,37.0,72.505104,219.933578,2.635863,1.707232,3.525405,7.968202,19.199959
2,39.0,77.432304,219.919373,2.349502,1.727906,3.570019,8.036603,19.228392
2,40.0,77.438614,218.273727,2.687268,1.735155,3.590792,8.090636,19.366903
2,41.0,77.567604,215.920502,2.41657,1.697978,3.499876,7.905882,19.048059
2,42.0,74.573685,219.403778,2.862164,1.794989,3.792111,8.682018,21.049353
2,43.0,76.322739,216.090683,2.547941,1.782858,3.802464,8.83293,21.777229
2,44.0,78.525711,220.123154,2.6393,1.72533,3.567006,8.046035,19.312716
2,45.0,81.005135,220.321518,2.446545,1.74656,3.686517,8.540936,21.133566
2,46.0,78.663887,220.980423,2.323199,1.681316,3.450636,7.773038,18.690182
2,47.0,80.329453,221.161865,2.518436,1.738087,3.620405,8.224239,19.869068
2,48.0,79.386658,221.330475,2.755645,1.776375,3.748083,8.600476,20.941721
2,49.0,78.30513,221.023972,2.358578,1.70792,3.530792,7.982232,19.213961
2,50.0,76.763771,216.344284,2.166997,1.724011,3.589086,8.179472,19.871857
2,53.0,77.025368,213.547073,2.193653,1.76219,3.723257,8.570875,20.94849
2,54.0,79.392212,217.086227,2.802779,1.750682,3.661776,8.345457,20.219845
