Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,2.0,32.713734,18.04434,1.48386,1.55395,3.048749,6.666409,15.783028
1,3.0,30.852406,17.325321,1.879507,1.538588,2.931091,6.171356,14.004889
1,4.0,29.794111,17.570034,2.010071,1.590303,3.147793,6.896447,16.255884
1,7.0,21.656441,10.956551,1.643967,1.47868,2.750971,5.695822,12.804934
1,9.0,23.423485,15.646797,2.226028,1.681174,3.441278,7.726682,18.531506
1,12.0,22.282013,16.317499,2.204949,1.48407,2.764467,5.723657,12.852032
1,13.0,21.070589,16.385696,2.190899,1.577922,3.083494,6.663302,15.501122
1,17.0,16.731558,14.859222,1.809001,1.481954,2.830152,6.061861,14.136801
1,21.0,20.635056,12.806306,1.271155,1.352751,2.353621,4.580325,9.733869
1,24.0,20.249949,15.524962,1.994234,1.573717,3.015996,6.345634,14.319336
1,25.0,20.320637,14.485689,1.830354,1.480927,2.777328,5.806995,13.175464
1,26.0,20.168154,15.067842,2.651953,1.515695,2.851011,5.929144,13.301799
1,27.0,21.400738,14.193369,2.868925,1.537619,2.916874,6.110331,13.799682
1,28.0,21.048918,14.465352,1.75102,1.458812,2.698492,5.572955,12.529232
1,29.0,21.59185,15.164494,2.192029,1.564042,3.027267,6.456381,14.770264
1,31.0,21.612972,15.478668,1.211912,1.316518,2.305471,4.598944,10.179351
1,32.0,21.695877,14.638913,2.255724,1.567043,2.999742,6.311477,14.244393
1,33.0,21.915802,16.504644,2.372089,1.484428,2.744321,5.610467,12.377321
1,35.0,16.673586,16.662659,1.808742,1.375172,2.432354,4.83992,10.583826
1,36.0,17.283308,19.340187,2.156698,1.571219,3.029178,6.43749,14.708118
1,37.0,22.5756,17.491404,1.837895,1.605716,3.183607,6.98586,16.522312
2,11.0,39.909176,67.077652,1.157224,1.372927,2.462856,4.956688,10.885257
2,14.0,26.494106,75.245705,0.912287,1.294524,2.245714,4.559269,10.519266
3,18.0,62.582214,48.743176,0.804213,1.136707,1.690186,2.796054,5.109485
3,20.0,53.742733,52.901501,0.886881,1.239464,2.175917,4.503143,10.578953
4,42.0,17.999399,21.17416,2.046675,1.47357,2.748578,5.699304,12.776563
4,44.0,15.801285,17.703646,2.090394,1.340334,2.243569,4.127566,8.187802
4,45.0,16.951696,21.420559,1.883748,1.440643,2.596654,5.173818,11.122251
4,47.0,17.798512,19.802883,1.151207,1.343523,2.234186,4.052275,7.856287
4,48.0,19.045097,19.519135,2.50754,1.42906,2.592517,5.247749,11.567688
4,49.0,19.44235,16.951935,2.023206,1.658062,3.447993,7.959124,19.737942
4,51.0,22.940117,21.350664,2.164329,1.553459,2.96564,6.26052,14.261363
4,53.0,25.248713,21.725338,1.746934,1.56322,3.009098,6.397722,14.647962
4,55.0,31.547485,17.55023,1.996454,1.669325,3.398229,7.60248,18.199757
4,57.0,31.583954,16.949982,2.393757,1.589829,3.122881,6.772455,15.793619
4,59.0,35.333817,15.570008,2.477129,1.550731,2.985786,6.37067,14.682159
4,61.0,28.886862,12.032588,1.463689,1.446949,2.67685,5.550045,12.558643
5,50.0,55.513546,70.466415,1.43894,1.382122,2.437573,4.805152,10.35588
5,54.0,57.527939,73.948349,0.924755,1.148221,1.745103,2.982032,5.673522
5,58.0,41.045677,71.507835,1.142436,1.318144,2.218502,4.160393,8.516808
5,62.0,53.286926,56.747074,0.93503,1.08707,1.563803,2.481437,4.316001
5,65.0,54.318806,68.89296,1.222197,1.34205,2.353386,4.685108,10.335705
6,64.0,50.256779,36.135262,1.37484,1.441221,2.645299,5.437347,12.193264
6,68.0,42.418453,37.636681,1.178638,1.169717,1.773413,2.98011,5.488111
7,66.0,25.039967,17.421425,2.011468,1.569922,3.047397,6.536787,15.076908
7,69.0,40.350384,22.022306,1.116709,1.277596,2.13138,3.968613,8.077841
7,72.0,23.395649,20.751806,2.717309,1.395483,2.441483,4.723675,9.887507
7,73.0,23.411085,20.546516,2.193497,1.382976,2.411172,4.668189,9.824557
8,70.0,23.195992,19.830612,2.252045,1.504873,2.849613,6.012077,13.748849
8,71.0,23.068956,21.02347,2.296372,1.376292,2.431399,4.789454,10.255635
9,78.0,25.422771,24.576263,2.593618,1.531851,2.897199,6.044415,13.569421
9,79.0,25.365385,24.531265,2.11848,1.425619,2.569874,5.153703,11.213119
9,81.0,26.477333,28.255247,2.677909,1.439243,2.61157,5.264489,11.501749
10,80.0,56.136883,19.704939,1.095902,1.382093,2.497879,5.101813,11.453757
10,84.0,52.501865,2.291272,1.317758,1.492418,2.907511,6.400863,15.374603
10,87.0,49.842178,0.791425,0.411275,0.744688,0.856471,1.030543,1.308692
10,91.0,73.465012,1.200045,0.710045,1.039083,1.385409,2.030459,3.334254
11,86.0,67.197006,68.104492,0.955043,1.226631,2.024578,3.823591,8.083011
11,88.0,74.742233,67.351166,1.021189,1.282255,2.224289,4.429722,9.869048
12,92.0,23.434708,31.030466,1.137116,1.444785,2.701409,5.626965,12.688149
12,95.0,17.26018,35.200031,0.832248,1.309548,2.371338,4.976663,11.69149
13,94.0,46.293865,19.527855,0.993902,1.10565,1.605796,2.606917,4.731029
13,97.0,34.051605,16.248018,1.217226,1.313535,2.245543,4.30681,9.057076
13,101.0,31.222136,0.724397,0.348861,0.67755,0.741853,0.83279,0.961396
13,103.0,31.352186,2.634092,1.243403,1.296359,2.128431,3.871388,7.668563
14,96.0,35.6283,71.965042,1.247186,1.398487,2.620445,5.621103,13.344044
14,99.0,41.279202,73.630325,1.057364,1.1686,1.791826,3.0846,5.912757
