Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,337.601837,32.667088,2.879888,1.371488,2.352054,4.448113,9.085093
1,1.0,337.656433,32.687984,2.452981,1.618417,3.238733,7.167215,17.065292
1,4.0,338.125824,34.053036,2.849412,1.551215,2.968904,6.284544,14.352799
2,0.0,207.026138,66.461418,2.73119,1.530688,2.893559,6.042472,13.599343
2,3.0,214.730713,75.737991,2.315088,1.553263,2.948342,6.150405,13.781929
2,4.0,216.188156,74.338554,2.152007,1.512428,2.846052,5.941424,13.431761
2,5.0,215.187851,72.752907,1.827025,1.366297,2.335978,4.415517,9.038207
2,7.0,226.688339,71.596825,1.577817,1.343749,2.349245,4.646556,10.160202
2,8.0,225.933975,71.613976,1.638781,1.49178,2.818225,5.948249,13.643439
2,9.0,226.56839,71.730728,1.956918,1.520051,2.835181,5.83009,12.923518
3,0.0,138.879761,69.864479,1.850713,1.248427,2.022577,3.672594,7.353255
3,1.0,138.311356,69.806633,2.558839,1.520592,2.887912,6.095548,13.941572
3,5.0,128.28598,93.688019,1.124153,1.268108,2.091484,3.862117,7.832261
3,7.0,127.625534,93.961601,1.818242,1.39733,2.489875,4.956638,10.76724
3,8.0,128.114151,93.546257,1.481679,1.428717,2.559467,5.096187,11.023154
3,9.0,128.318207,93.390724,1.412578,1.30229,2.146077,3.910277,7.740736
3,13.0,127.423347,93.249825,1.175277,1.185311,1.859894,3.283283,6.440356
3,14.0,127.660545,95.06028,1.243299,1.377268,2.502096,5.165565,11.77821
4,0.0,128.382645,93.116074,2.0481,1.382228,2.375798,4.486804,9.114514
4,2.0,128.483017,93.701973,1.695262,1.302472,2.15877,3.997178,8.135993
4,3.0,128.186157,93.447685,1.303836,1.320471,2.236668,4.244115,8.850793
5,0.0,177.668549,102.387657,1.877405,1.336548,2.256444,4.210154,8.516294
5,3.0,178.252655,103.039482,1.740545,1.462627,2.709949,5.606935,12.627128
5,4.0,177.091263,103.205948,1.885924,1.420165,2.583415,5.27212,11.771317
6,1.0,97.306526,216.623154,1.172409,1.350145,2.422272,4.944074,11.162615
6,5.0,107.38488,221.524872,1.850851,1.43112,2.525769,4.908814,10.281532
7,1.0,160.154678,339.761475,1.690566,1.51683,2.854634,5.934757,13.307714
7,2.0,160.336105,340.018158,1.428312,1.430039,2.662713,5.606829,12.974362
7,3.0,160.506729,339.595917,1.559145,1.463184,2.727727,5.7095,13.063862
7,7.0,159.56778,341.373291,1.809514,1.362173,2.353991,4.545163,9.617336
7,8.0,160.323303,340.822571,1.785254,1.47632,2.726416,5.601603,12.500587
7,10.0,159.828842,339.674896,1.784964,1.47675,2.755286,5.732056,12.947708
7,12.0,158.855194,339.689514,1.89135,1.584372,3.094626,6.656607,15.354276
7,15.0,159.432449,340.135406,1.67925,1.428996,2.613915,5.372051,12.087967
7,18.0,159.570541,340.170044,1.520497,1.452018,2.694208,5.593868,12.643517
7,20.0,159.3974,340.360107,2.179042,1.457915,2.657849,5.365027,11.705054
8,2.0,65.433014,84.511742,1.852229,1.472092,2.764915,5.829169,13.41907
8,3.0,65.127747,84.487762,1.478273,1.391206,2.494389,5.021117,11.045091
9,2.0,303.203094,153.477798,1.341894,1.383823,2.478172,4.999984,11.084285
9,5.0,313.509918,143.765579,1.199712,1.331942,2.319432,4.574064,9.980046
10,2.0,84.918228,263.104523,1.62898,1.359221,2.33665,4.450252,9.18672
10,6.0,82.320503,280.188568,1.092553,1.194403,1.89568,3.444385,7.076437
11,4.0,3.604561,283.457123,1.986305,1.552498,2.961,6.218793,14.047472
11,5.0,3.59976,283.626923,1.92661,1.524971,2.85575,5.892097,13.083999
11,6.0,3.629915,284.14035,1.807801,1.554145,3.054584,6.718704,16.034201
11,7.0,2.750159,283.409119,1.693089,1.577614,3.134982,6.935496,16.581804
11,8.0,3.338393,284.059082,1.625236,1.480055,2.792016,5.882279,13.458419
11,10.0,12.290091,283.522919,1.371945,1.339686,2.317785,4.507358,9.64445
12,5.0,109.265869,35.744251,1.445701,1.468096,2.772651,5.896983,13.731503
12,9.0,130.058411,39.947216,1.720631,1.545102,3.029169,6.626722,15.704009
13,6.0,84.929337,11.724966,1.37712,1.343302,2.301882,4.399073,9.184532
13,9.0,97.354874,0.629159,0.366234,0.573648,0.589768,0.612566,0.644808
14,6.0,293.847504,169.555511,1.066992,1.267026,2.147987,4.136137,8.8504
14,9.0,278.809418,167.00882,1.585531,1.506073,2.910753,6.299487,14.81222
15,6.0,105.844925,172.715271,1.482783,1.396577,2.46899,4.874541,10.493488
15,9.0,106.857941,171.6064,1.457195,1.144478,1.710539,2.823891,5.090374
16,6.0,358.467834,287.728638,0.741208,0.932189,1.156117,1.524929,2.15923
16,10.0,377.114349,289.126129,1.100768,1.139317,1.686265,2.737684,4.820731
16,14.0,384.317169,297.654572,1.118115,1.205442,1.933857,3.516605,7.129678
17,7.0,0.962791,104.663963,0.478846,0.912645,1.543492,3.337367,8.563972
17,11.0,19.319342,115.43457,1.021907,1.166171,1.788374,3.072598,5.850008
18,7.0,150.663849,239.387741,1.012221,1.173725,1.830581,3.228554,6.363019
18,11.0,149.200897,224.834244,1.13044,1.121055,1.670757,2.778558,5.116599
19,7.0,129.558914,255.133514,1.194831,1.275238,2.210054,4.398107,9.764539
19,11.0,130.305466,266.54306,1.690771,1.47999,2.715568,5.507169,12.064782
19,14.0,128.409424,265.17981,1.243648,1.295748,2.173183,4.083353,8.426476
19,18.0,106.699402,281.310364,1.277368,1.183152,1.827827,3.161677,6.058213
19,20.0,109.610237,277.757202,1.123974,1.250408,2.071423,3.907074,8.240912
20,7.0,182.273209,256.787964,1.21867,1.295567,2.186497,4.15959,8.748686
20,11.0,193.909424,281.816254,1.197925,1.275363,2.097276,3.842988,7.704831
21,8.0,213.482285,71.029099,2.001199,1.477566,2.731096,5.604466,12.44773
21,9.0,215.815643,72.542236,2.497773,1.586884,3.078795,6.573117,15.066236
21,10.0,217.541183,71.314423,2.976207,1.677374,3.379413,7.438584,17.464941
22,9.0,477.781006,451.443726,1.288989,1.281385,2.121537,3.919883,7.929172
22,12.0,470.662323,451.460052,1.19975,1.241247,2.03668,3.78247,7.803457
23,10.0,65.334969,83.984253,1.771577,1.428685,2.559462,5.067773,10.835262
23,14.0,64.975288,84.732536,1.703785,1.490314,2.780504,5.758934,12.908121
23,15.0,63.938961,84.653267,1.951268,1.508248,2.830614,5.881926,13.19852
23,16.0,65.144302,83.898323,1.674196,1.560613,3.090967,6.832637,16.350056
23,17.0,64.612236,84.253784,2.103382,1.51221,2.838455,5.894019,13.208196
23,18.0,64.815254,84.94529,1.928789,1.433648,2.596533,5.235929,11.471928
24,10.0,316.826691,153.818909,1.474314,1.387026,2.449745,4.81573,10.294379
24,13.0,334.167725,152.776627,1.29449,1.351634,2.382694,4.72486,10.27723
24,15.0,339.583252,148.685318,1.044722,1.153617,1.760681,2.998096,5.632024
24,18.0,330.318024,132.414078,1.233275,1.255083,2.04854,3.754585,7.59083
24,20.0,335.098053,141.176971,1.46971,1.457221,2.698207,5.563867,12.440904
25,10.0,129.85997,191.558411,1.185282,1.225821,1.944588,3.437225,6.664613
25,12.0,127.982903,189.62001,1.343305,1.338935,2.295338,4.38031,9.092987
26,10.0,315.532227,416.373962,1.879307,1.453141,2.718986,5.723206,13.177004
26,12.0,315.677795,415.784546,1.438075,1.315134,2.194695,4.061228,8.181103
26,13.0,315.407074,417.395294,1.36358,1.375521,2.466577,4.978013,10.998561
26,17.0,314.808502,417.533661,2.131574,1.492696,2.804453,5.850973,13.201607
27,10.0,210.214233,428.094208,1.505513,1.464172,2.768084,5.896658,13.736886
27,13.0,204.727646,416.768433,1.379848,1.375959,2.406757,4.682388,9.914506
28,11.0,264.161957,73.814888,0.749841,1.03231,1.510897,2.535067,4.851501
28,14.0,249.704208,88.613899,1.574755,1.414855,2.544421,5.153789,11.482498
28,16.0,246.689072,101.451813,1.76065,1.518895,2.856979,5.922449,13.196734
29,11.0,177.819824,103.345154,1.775283,1.404947,2.571544,5.333209,12.180915
