Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,119.511948,171.460968,3.067153,1.830994,4.125163,10.440001,28.86762
1,1.0,121.625397,170.53154,3.61059,1.985743,4.826456,13.044446,37.93927
1,2.0,121.571228,176.239655,3.499547,1.967819,4.741876,12.745263,36.99818
1,3.0,122.540573,173.507629,3.938971,1.85021,4.183749,10.591192,29.233915
1,4.0,120.083069,174.035416,3.423843,1.88901,4.443135,11.797129,34.198124
1,5.0,120.090858,174.792038,2.857203,1.848477,4.229877,10.860107,30.340515
1,6.0,118.790283,175.763092,3.200638,1.840069,4.192071,10.726365,29.890057
1,7.0,119.63089,174.780548,3.607394,2.060425,5.058985,13.680737,39.648079
1,8.0,116.509064,176.753571,2.726092,2.065548,5.316216,15.239896,46.832424
1,9.0,116.035477,182.292679,3.785464,1.904665,4.500331,11.914362,34.155403
1,10.0,114.28614,183.362473,3.802282,1.984325,4.875928,13.398904,39.800358
1,12.0,111.322243,188.26329,3.828112,2.022073,5.062933,14.191623,42.989685
1,13.0,115.026871,188.590607,2.917453,1.972018,4.953894,14.09796,43.593056
1,14.0,114.736984,194.352036,3.469644,1.795767,4.005362,10.071445,27.747633
1,15.0,116.956131,194.81723,3.210942,1.993133,4.90208,13.487255,40.133667
1,16.0,118.996429,198.473404,4.810354,2.054575,5.1291,14.190511,42.151283
1,17.0,118.883934,198.021332,3.824397,1.945154,4.706079,12.789756,37.75811
1,18.0,116.229477,201.679352,3.803378,1.888101,4.340384,11.060727,30.338259
1,19.0,116.587318,198.802414,3.880825,2.084781,5.27431,14.752304,44.188927
1,20.0,116.200912,201.026169,2.604799,1.876606,4.429873,11.796697,34.262905
1,21.0,116.946144,202.4702,3.119298,1.908176,4.56304,12.235646,35.484749
1,25.0,115.606361,203.42218,2.996002,1.794404,4.074899,10.527723,29.955273
1,27.0,120.402573,198.012085,4.469558,1.959273,4.645458,12.232933,34.776211
1,28.0,121.596481,198.818848,4.696555,1.844631,4.175139,10.550167,28.898703
1,29.0,123.202881,198.199005,3.426285,1.855413,4.249813,10.895498,30.319782
1,30.0,122.160698,198.481949,4.553756,2.014355,4.930722,13.371412,38.939762
1,31.0,123.814995,199.164429,4.475512,1.907141,4.44836,11.563247,32.488636
1,32.0,120.744156,200.535049,4.046374,2.123954,5.460048,15.56225,47.676571
1,33.0,121.976357,200.450409,3.510849,1.814533,4.145891,10.76114,30.702105
1,34.0,124.982399,199.693054,3.787843,1.899164,4.480851,11.955771,34.960873
1,35.0,124.998764,200.600372,3.72063,1.816979,4.09147,10.396047,28.928215
1,36.0,124.416458,200.502884,3.188956,1.78368,4.017645,10.300949,29.05792
1,37.0,127.078369,201.975967,2.867859,1.980744,4.940629,13.842872,41.863888
1,38.0,124.669815,199.484985,3.260936,1.9222,4.655405,12.741577,38.001308
1,39.0,127.306053,197.669281,2.624019,1.882713,4.448398,11.807674,33.936493
1,40.0,125.206482,200.745697,2.602232,1.887797,4.513734,12.241206,36.28278
1,41.0,126.627693,200.203461,3.576295,1.784618,3.98587,10.018735,27.454762
1,42.0,128.699493,204.411392,3.647815,1.705834,3.585058,8.396861,21.338953
1,43.0,127.489334,202.670212,3.607832,1.956277,4.71495,12.751999,37.445335
1,44.0,129.057816,202.040146,3.398541,2.057144,5.211575,14.731404,44.813679
1,45.0,126.100243,202.46637,3.960879,1.828136,4.110992,10.359061,28.428888
1,46.0,124.443657,202.909012,3.183936,1.913762,4.569938,12.284699,35.947529
1,47.0,120.931389,204.018448,4.554254,2.021685,4.93042,13.288795,38.393246
1,49.0,121.160179,199.559509,3.929407,1.789548,3.997151,10.027207,27.347792
1,50.0,121.392273,200.314926,4.466718,2.017605,4.994495,13.828813,41.439423
1,52.0,116.255234,199.507095,3.106562,1.781311,3.954874,9.893752,27.079472
1,53.0,114.082176,197.75975,4.397817,1.999257,4.888691,13.322333,39.189884
1,54.0,112.9851,196.849319,3.720995,1.874503,4.35124,11.340352,32.128662
1,56.0,108.579178,201.199814,2.477658,1.951763,4.677723,12.509356,36.115044
1,57.0,108.728317,199.341064,3.633705,2.049122,5.205869,14.811906,45.541416
1,60.0,109.327942,198.30481,2.355531,1.735458,3.90589,10.129761,29.158411
1,61.0,109.41433,197.264862,3.792861,1.788362,3.919544,9.599241,25.566994
1,63.0,109.514252,191.829391,3.990015,1.971306,4.748833,12.703419,36.528
1,64.0,110.938744,191.833862,4.328496,1.998369,4.912179,13.514977,40.260536
1,65.0,110.721184,192.106781,4.072432,1.961624,4.768601,13.020887,38.626526
1,66.0,111.061874,195.417999,3.349367,1.740657,3.78932,9.327414,25.231007
1,67.0,109.852272,198.200455,4.35519,1.855712,4.33919,11.539413,33.725582
1,69.0,110.78167,192.300354,4.089347,2.118501,5.399708,15.198286,45.773472
1,70.0,110.560608,192.334824,4.404202,1.938739,4.625387,12.341448,35.684124
1,71.0,109.614487,194.422668,2.68935,2.206349,6.114666,18.742573,60.956032
1,72.0,107.346764,193.384384,4.575442,2.116948,5.455883,15.593914,47.808418
1,73.0,106.328926,194.530075,3.963083,1.977172,4.752699,12.769628,37.277737
1,74.0,108.73243,197.161118,5.8148,2.106231,5.32186,14.829803,44.223305
1,75.0,109.663811,197.317856,3.854138,2.06803,5.180633,14.346267,42.560127
1,76.0,109.704185,199.249985,3.554956,1.78679,3.976818,9.968165,27.344097
1,77.0,111.713058,198.098251,4.411607,1.840739,4.191887,10.729425,29.952961
1,78.0,108.003151,196.190094,3.634432,2.073839,5.348977,15.371759,47.411217
1,79.0,108.454514,195.572678,3.329293,1.863804,4.282705,11.0185,30.753511
1,80.0,107.420883,193.615189,2.877813,1.966987,4.688512,12.403461,35.379452
1,81.0,104.607117,191.084869,2.956756,1.895604,4.475304,11.871977,34.201752
1,84.0,108.578964,188.840469,2.760976,1.995746,5.015884,14.236162,43.854298
1,85.0,107.074486,186.673874,2.896623,1.597685,3.410682,8.644053,25.033859
1,88.0,104.281868,182.935837,2.869176,1.780416,4.047547,10.562319,30.513256
1,89.0,105.386826,185.660919,2.433613,1.699157,3.654043,8.901454,23.760496
1,90.0,106.36293,186.594925,3.864584,1.766637,3.857613,9.457622,25.323568
1,91.0,108.098274,186.673843,4.907577,2.058493,5.092432,13.91259,40.782997
1,92.0,112.180199,185.819031,3.449445,2.043039,5.140488,14.455136,43.892902
1,93.0,112.538345,184.359558,3.809856,1.713003,3.595879,8.3997,21.266645
1,94.0,111.652527,182.74942,5.004554,1.970486,4.713675,12.520169,35.849922
1,95.0,110.697701,181.29805,3.624488,1.924402,4.54218,11.922234,33.724167
1,96.0,112.63163,184.016083,3.245568,1.746187,3.77477,9.188963,24.5548
1,97.0,113.543839,182.655106,4.357159,1.96744,4.687052,12.362926,35.091621
1,98.0,114.292648,180.676086,4.164793,2.013395,4.973951,13.695982,40.686253
1,100.0,112.389069,180.229828,4.743426,1.850086,4.169638,10.423789,28.077705
1,101.0,107.778954,177.40416,3.675919,1.78085,3.902348,9.603126,25.8477
1,103.0,105.051041,181.082352,3.453259,1.835794,4.266153,11.23887,32.391945
1,104.0,105.448044,183.095413,4.033647,1.913222,4.607693,12.557246,37.320496
1,105.0,106.923309,185.676483,4.205011,1.989193,4.817731,12.968248,37.630672
1,107.0,104.373062,184.67926,4.131345,2.021944,5.001868,13.798344,41.103096
1,109.0,105.725578,183.138153,2.743552,2.028667,5.078989,14.117311,42.089642
1,110.0,106.523483,185.272537,4.021957,2.082061,5.411742,15.723595,49.1343
1,111.0,109.839394,182.479355,4.343388,1.968531,4.695333,12.430014,35.442421
1,112.0,107.542709,181.289307,2.736986,1.663394,3.60325,9.041343,25.339951
1,113.0,110.379433,182.303345,2.976516,1.747702,3.933482,10.158731,29.073515
1,114.0,110.055145,183.39711,3.024656,2.014106,5.05712,14.291783,43.845985
1,115.0,110.078644,185.562561,4.00644,1.950022,4.696916,12.649617,36.882702
1,116.0,108.042526,182.142792,3.862103,1.723763,3.686031,8.833865,23.056108
1,117.0,106.355324,183.24733,4.022542,2.01981,5.008217,13.832341,41.172802
1,119.0,101.082542,185.343216,3.473111,2.057636,5.124844,14.182571,42.282642
1,120.0,102.505516,188.975708,4.571499,1.812427,4.005925,9.860807,26.297045
1,121.0,102.12709,191.947449,2.213041,1.92892,4.799796,13.558265,41.575386
1,122.0,101.738998,192.558182,4.854667,2.092521,5.278318,14.702037,43.884193
2,0.0,238.849365,198.367004,6.059516,2.031683,4.974686,13.48543,39.310406
2,1.0,239.023254,198.268738,4.427764,1.722104,3.678207,8.810209,23.010351
2,2.0,239.276642,198.3564,5.223782,1.892458,4.415768,11.588515,33.214272
2,3.0,239.261017,198.173447,4.858919,1.882576,4.423528,11.734882,33.974117
2,4.0,239.411011,198.340912,4.582029,1.794801,4.009544,10.098275,27.829161
3,1.0,27.327826,35.074165,1.6348,1.682958,4.00036,11.359518,36.032173
3,4.0,25.439672,26.305658,1.589001,1.44751,2.878432,6.789413,18.202532
4,2.0,139.933487,337.397491,1.458093,1.414758,2.783672,6.641115,18.513351
4,6.0,141.168991,329.505188,1.772115,1.577792,3.293266,7.994692,21.747271
5,2.0,93.456902,350.5448,1.712245,1.587316,3.345863,8.255931,22.917038
5,6.0,98.956215,354.959015,1.517398,1.43696,2.676579,5.694381,13.640101
6,4.0,221.503128,53.731369,1.326202,1.405335,2.817735,6.92488,19.894222
6,8.0,238.252502,55.371872,1.909711,1.881178,4.398022,11.544827,32.893772
7,5.0,205.6147,250.767731,2.000796,1.72723,3.890565,10.111467,29.143562
7,8.0,195.647888,255.328934,1.97631,2.11832,5.59101,16.63055,53.647167
8,5.0,191.286652,294.89505,1.185733,1.216642,2.017905,3.991641,9.461958
8,8.0,174.611038,290.910156,1.676658,1.529964,3.035472,6.915236,17.58942
9,6.0,368.513397,51.807358,1.865034,1.446602,2.765485,6.210105,16.060934
9,8.0,370.364685,42.971004,1.390913,1.667914,3.723737,9.64138,27.647736
10,6.0,350.491058,163.04837,1.766487,1.599965,3.317994,7.903419,21.030514
10,9.0,358.823334,159.954163,2.199994,1.675243,3.660927,9.210838,25.649593
11,6.0,360.301636,295.056885,1.557079,1.30682,2.225865,4.318856,9.476408
11,9.0,366.933411,292.098785,1.915441,1.708804,3.907763,10.427381,31.022013
12,7.0,372.408325,363.383972,1.97256,1.598694,3.260306,7.656178,20.197847
12,11.0,376.287445,348.856903,1.973986,1.688437,3.655254,9.023748,24.549036
12,15.0,391.08075,334.46344,1.781896,1.557213,3.188706,7.547453,19.943153
13,7.0,33.211628,505.519714,4.052042,2.138002,5.524788,15.779413,48.253174
13,10.0,17.207514,499.577332,2.995756,2.064353,5.322664,15.434856,48.440815
14,8.0,385.58844,147.301392,2.14434,1.904183,4.683609,13.065382,39.579914
14,12.0,374.684326,137.763992,1.893152,1.460841,2.744337,5.875204,14.036659
15,8.0,440.095306,174.935455,2.128755,1.616452,3.351084,7.905978,20.544565
15,11.0,448.548187,175.603958,1.996246,1.871458,4.328431,11.154432,31.021006
16,8.0,89.692772,291.076355,1.49806,1.39423,2.498558,5.02733,11.112357
16,12.0,71.927185,292.385742,2.486433,1.678683,3.499666,8.163514,20.756014
17,8.0,440.237854,323.160156,1.912784,1.572213,3.107858,6.923378,16.949427
17,10.0,440.75885,326.119293,1.838048,1.762896,4.272316,12.115965,37.950783
18,10.0,125.213348,133.509079,1.919573,1.591948,3.307489,7.951269,21.434576
18,12.0,121.329926,143.403366,1.515204,1.45592,2.880501,6.776781,18.244514
19,11.0,144.282471,315.353821,1.260504,1.443701,2.998619,7.663375,22.78721
19,13.0,140.760818,312.516327,1.313354,1.387829,2.605182,5.774016,14.65679
20,12.0,200.278961,168.252716,1.613493,1.683912,3.99384,11.320365,35.970432
20,16.0,197.168182,172.66391,1.605288,1.805956,4.221155,11.331543,33.525505
21,13.0,118.871582,58.463406,1.331286,1.368636,2.516843,5.457598,13.617791
21,17.0,135.638046,57.751244,1.257407,1.288183,2.334016,5.217548,13.928503
22,13.0,358.514648,316.55191,1.465786,1.351865,2.338185,4.570326,9.945915
22,17.0,345.234406,316.559296,1.084862,1.258765,2.199229,4.602212,11.316012
23,13.0,481.111938,335.711884,1.713488,1.382698,2.41667,4.730167,10.193388
23,17.0,473.769379,327.00885,1.226065,1.357976,2.581568,5.951125,16.034405
24,14.0,412.662781,263.701508,1.688175,1.54851,3.200164,7.863074,22.249533
24,16.0,414.9151,263.930145,1.787189,1.591702,3.304702,7.908227,21.076117
25,14.0,12.895592,297.745361,1.919192,1.59173,3.253577,7.633658,19.960463
25,18.0,0.99059,302.809174,0.820125,0.972874,1.357819,2.100808,3.581047
26,14.0,80.64917,358.225861,1.402518,1.463455,3.031595,7.642342,22.183613
26,18.0,80.853127,373.316376,1.43329,1.441684,2.86798,6.817712,18.571388
27,14.0,122.984207,416.725403,1.447612,1.523878,3.051346,7.073228,18.392452
27,15.0,125.305542,412.512512,1.41614,1.74232,4.320085,12.564822,40.048271
28,15.0,415.875763,509.309814,1.455741,1.932734,4.602664,12.411407,36.899754
28,18.0,431.844269,511.235077,0.736434,0.963012,1.413859,2.408196,4.786453
29,16.0,430.311005,120.530067,1.850007,1.503168,2.973543,6.883198,18.123003
29,19.0,430.95163,118.624672,1.21319,1.543687,3.530786,9.717163,29.918554
30,16.0,394.639099,363.490723,1.361266,1.321542,2.310374,4.682778,10.825489
30,19.0,384.43689,367.818115,2.186885,1.740631,3.809135,9.437841,25.636583
31,17.0,288.353973,19.154442,1.180424,1.288432,2.306867,4.96402,12.512707
31,20.0,290.938995,24.479919,1.889023,1.657981,3.558241,8.749346,23.87394
31,23.0,292.592163,16.02953,1.196341,1.460529,3.137859,8.324656,25.513828
32,17.0,130.106567,26.016989,1.96846,1.605341,3.325648,7.89918,20.828039
32,21.0,150.379364,24.80854,1.669013,1.488189,2.977914,7.117752,19.754066
33,17.0,460.240448,198.585953,1.857058,1.826068,4.223313,11.078801,31.855829
33,21.0,446.656189,197.595306,1.97342,1.705528,3.848079,10.03551,28.98543
34,17.0,144.7229,343.497375,1.353394,1.39354,2.679224,6.183715,16.617039
34,21.0,138.528381,351.362854,1.788705,1.646472,3.696978,9.813981,29.281153
35,17.0,352.427643,467.341736,1.748016,1.738739,3.791232,9.339705,25.217922
35,20.0,355.602386,472.156311,1.514038,1.406056,2.607998,5.592643,13.602439
36,18.0,62.495369,42.991287,1.874669,1.6021,3.387049,8.309797,22.795111
36,21.0,58.679752,26.068932,1.913222,1.450835,2.651532,5.45791,12.431781
36,22.0,57.52668,24.768749,1.769063,1.925445,4.707395,13.079613,39.751987
37,19.0,108.623146,170.939713,1.581891,1.543633,3.310919,8.538861,25.149883
37,22.0,103.624687,154.978027,1.47333,1.532146,3.101516,7.257353,18.973112
38,19.0,127.447464,274.229919,1.604244,1.49909,2.956672,6.780438,17.513226
38,21.0,127.928017,274.690002,1.23576,1.233872,2.072195,4.127669,9.707827
39,20.0,87.721558,79.682411,1.925911,1.619895,3.425525,8.466541,23.684965
39,24.0,70.977028,92.564102,1.29811,1.536779,3.422247,9.315,28.959143
40,20.0,490.523346,295.936432,1.336525,1.50754,3.314722,9.039795,28.644178
40,23.0,478.938263,307.980865,1.871174,1.601944,3.436251,8.657034,24.654135
41,20.0,87.914207,310.182312,1.761775,1.570072,3.366385,8.519237,24.21899
41,24.0,74.516113,326.035065,1.547159,1.421141,2.722124,6.128249,15.726435
42,21.0,322.887939,141.417496,5.579779,2.369465,6.559496,19.684925,62.336468
42,25.0,342.34906,130.272675,1.426498,1.36684,2.487377,5.308177,12.983256
43,22.0,359.457581,15.0957,1.900877,1.926438,4.702444,12.967677,38.876556
43,26.0,365.773163,29.697273,1.740535,1.478514,2.945523,7.016249,19.354683
44,22.0,192.993301,32.238605,2.15944,1.812083,4.182916,10.968122,31.427895
44,26.0,186.33606,10.264688,1.391913,1.460169,2.896389,6.831026,18.555115
44,28.0,177.471756,4.358057,1.498099,1.497193,3.071365,7.507119,21.034239
45,22.0,356.895081,191.331512,1.777275,1.617489,3.379074,8.088432,21.416115
45,26.0,333.490479,190.608627,1.642479,1.651398,3.611577,9.223484,26.457809
46,22.0,373.035675,263.068542,1.52627,1.529153,3.161515,7.664199,20.92675
46,24.0,362.470367,261.395325,1.876387,1.696373,3.643547,8.860553,23.672316
