Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,67.529648,60.943401,1.387907,1.647842,3.919095,11.241759,36.230537
1,4.0,58.45327,79.750771,1.958311,1.869331,4.756126,14.11797,46.104515
1,6.0,52.586372,74.217346,1.710011,1.486333,2.827024,6.160412,15.040558
2,0.0,1.095988,149.382309,0.82353,1.196506,2.697502,7.992408,27.496952
2,2.0,4.651248,137.246002,1.671704,1.73611,3.954395,10.452308,30.756767
2,6.0,5.597083,134.375534,1.566853,1.419498,2.615811,5.586821,13.654764
3,0.0,128.72998,162.005447,1.587051,1.60228,3.144932,6.872801,16.374876
3,4.0,120.8564,145.457016,1.479241,1.335502,2.312513,4.609792,10.506081
4,0.0,186.305374,269.868988,1.292494,1.493847,3.293027,9.033176,28.695305
4,2.0,193.088974,272.86496,1.560464,1.47248,2.968381,7.181718,20.137766
5,1.0,167.374283,123.050209,2.353819,1.878798,4.492968,12.162618,35.805557
5,3.0,165.717758,123.967514,2.901587,1.760476,3.94553,10.060185,28.192753
5,5.0,171.408875,126.193352,3.013747,1.741727,3.826833,9.580302,26.464949
5,9.0,152.857635,127.740997,1.573175,1.576816,3.391951,8.607422,24.649395
5,12.0,164.63678,141.134338,2.868223,1.914559,4.624612,12.611875,37.362129
5,13.0,164.010635,139.447388,3.196316,1.829102,4.279572,11.440144,33.635601
5,14.0,163.556595,137.368637,2.716716,1.828932,4.219305,10.978057,31.052076
5,16.0,157.435211,138.361145,2.588854,1.721451,3.696085,8.986324,24.087822
5,17.0,157.422653,138.357559,2.102155,1.901868,4.618728,12.735542,38.275391
5,18.0,151.962112,136.922607,2.749801,2.007293,5.063328,14.289117,43.404221
5,19.0,151.295059,136.942627,2.971961,2.058006,5.163857,14.403681,43.207424
5,22.0,155.537277,142.282181,2.760702,1.607981,3.282733,7.654787,19.893961
5,23.0,157.765091,142.790405,2.65042,1.554724,3.102934,7.093421,18.063437
5,24.0,160.021683,143.292297,2.002542,1.542174,3.062569,6.973177,17.702759
5,25.0,161.079712,141.638153,2.618815,1.698799,3.597194,8.560723,22.253567
5,27.0,158.502213,142.651199,3.495019,2.010886,4.914985,13.353692,39.146332
5,28.0,158.281693,142.663788,3.314904,1.756073,3.797977,9.199174,24.311657
5,29.0,158.555908,143.062469,3.802047,1.985361,4.865906,13.311502,39.293915
5,30.0,159.475998,141.517273,2.625461,1.734455,3.731383,9.045659,24.047609
5,33.0,151.749298,139.84082,2.062738,1.660205,3.56471,8.800536,24.108408
5,35.0,150.402145,142.922028,4.593477,2.082797,5.185795,14.249233,41.980164
5,37.0,154.613251,144.672623,2.65836,1.60062,3.201138,7.215885,17.88748
5,38.0,154.750702,143.025024,2.797137,1.938328,4.651926,12.498902,36.363895
6,1.0,98.493973,170.342026,1.902432,1.688504,3.655672,9.052608,24.731827
6,5.0,87.872551,179.682159,1.959179,1.669194,3.725005,9.753974,28.693703
7,1.0,162.239273,196.349091,2.353471,1.748273,3.995641,10.562362,30.95385
7,5.0,141.795425,202.18277,2.017502,1.848078,4.297211,11.392498,33.326992
7,9.0,151.708664,193.518173,2.161357,1.720975,3.838411,9.834311,27.790731
8,2.0,199.69516,31.703577,1.544915,1.467497,2.984163,7.385932,21.310154
8,6.0,208.950012,18.935163,1.134138,1.390599,2.695648,6.22627,16.466497
8,10.0,226.296646,27.592724,1.48825,1.363252,2.454616,5.20795,12.90374
8,13.0,238.687714,24.42095,3.32523,1.976037,4.903806,13.771533,42.158443
8,17.0,223.58403,35.222179,2.129369,1.593219,3.438533,8.769834,25.280199
8,21.0,223.733292,36.057182,1.836612,1.681325,3.749121,9.684787,27.797441
8,24.0,223.246826,35.254059,1.776023,1.489642,2.771744,5.750872,13.055829
