Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,333.256195,65.669144,2.025012,1.609558,3.145972,6.758314,15.585122
1,2.0,333.321625,64.493225,1.626423,1.440214,2.661856,5.511117,12.433128
2,0.0,117.29882,92.194,1.288366,1.29126,2.192726,4.234925,9.119923
2,4.0,93.213486,101.543144,1.495763,1.222901,1.948882,3.485253,6.902283
3,0.0,293.641815,103.150505,1.511353,1.381073,2.453028,4.896157,10.729094
3,4.0,300.505463,112.956795,1.227074,1.290636,2.202196,4.291058,9.331343
4,0.0,138.736465,104.683479,1.391141,1.250004,2.022866,3.638684,7.153381
4,3.0,141.148819,99.940117,1.100862,1.184033,1.88588,3.400855,6.833021
5,0.0,136.322372,256.026306,2.445471,1.544425,2.956514,6.249177,14.207826
5,1.0,139.156647,254.382187,2.31753,1.575211,3.058758,6.545541,15.039963
5,3.0,132.809967,255.069397,2.056297,1.549579,3.036158,6.62839,15.650284
5,7.0,127.455597,247.446686,2.437733,1.513133,2.866351,6.028305,13.714334
5,8.0,124.71096,249.502228,1.693382,1.419263,2.602614,5.355796,12.053977
5,9.0,122.769188,255.232651,2.298568,1.580159,3.098068,6.729053,15.767044
6,0.0,278.581512,276.108307,2.767797,1.545011,2.93533,6.13959,13.801974
6,1.0,278.154907,275.709381,2.62351,1.344503,2.284072,4.289795,8.720698
6,3.0,277.695068,275.783844,2.345635,1.339193,2.244527,4.135311,8.207151
6,4.0,278.147247,275.849701,2.400843,1.459653,2.64974,5.323242,11.571708
6,5.0,278.148499,275.841339,2.082269,1.503348,2.836805,5.944719,13.487177
6,6.0,278.178436,275.776154,2.4704,1.345741,2.28985,4.33056,8.926132
6,7.0,278.412598,275.895508,2.222438,1.412318,2.520765,5.006656,10.818812
6,8.0,278.674164,275.455841,2.144158,1.529123,2.910097,6.159162,14.136236
6,9.0,278.62439,275.800323,2.086581,1.467376,2.783543,5.952254,13.917258
6,10.0,278.984802,275.782532,2.15275,1.476982,2.797323,5.94339,13.776428
6,13.0,278.407623,275.420807,2.384063,1.469946,2.71984,5.606869,12.564286
6,14.0,278.589661,275.835571,2.154458,1.320936,2.210585,4.094465,8.22692
6,15.0,278.303589,275.914764,1.665976,1.430409,2.621318,5.375188,12.021221
6,17.0,278.712036,275.272888,1.887486,1.259524,2.040185,3.674221,7.239372
6,18.0,278.407715,275.844025,1.931606,1.427917,2.603102,5.310441,11.82139
6,19.0,278.251068,275.820618,2.11931,1.362406,2.330271,4.413204,9.074449
6,20.0,278.576385,276.967804,1.525907,1.38102,2.474691,5.001603,11.100298
6,22.0,266.92334,280.700226,1.247649,1.340517,2.342435,4.613358,9.994467
7,0.0,270.805908,301.038605,1.519843,1.378911,2.406893,4.652054,9.729422
7,4.0,288.295929,310.034668,1.06755,1.1748,1.843959,3.296414,6.633648
8,0.0,401.489014,424.704865,0.961584,1.142155,1.793255,3.232928,6.610082
8,4.0,398.493652,411.477814,1.48656,1.380692,2.427473,4.763257,10.182663
8,6.0,400.452911,415.476562,1.220415,1.252633,2.106721,4.050907,8.715677
8,8.0,398.247101,414.603607,1.147782,1.28113,2.196318,4.281658,9.263707
8,12.0,386.528961,426.319946,1.054873,1.157583,1.808586,3.226038,6.486841
9,1.0,497.196808,378.959412,1.085247,1.221478,2.023675,3.843071,8.208359
9,5.0,487.794586,387.555084,0.876821,1.007042,1.376832,2.091601,3.561102
9,7.0,483.909454,377.438232,1.556939,1.353629,2.370528,4.695585,10.283842
10,2.0,445.897827,1.453862,1.089977,1.115252,1.596595,2.507356,4.291752
10,5.0,430.551086,1.554247,1.172491,1.188174,1.850768,3.289222,6.618231
11,2.0,165.525284,127.130623,1.222915,1.271093,2.137747,4.058445,8.50014
11,6.0,159.311493,149.680969,1.401906,1.336937,2.282788,4.316674,8.848051
12,2.0,357.247955,410.655182,1.109423,1.09227,1.601043,2.63835,4.868028
12,5.0,356.616913,414.32486,2.241213,1.584109,3.106882,6.725194,15.647109
13,2.0,372.157593,416.554565,1.499326,1.258588,2.020235,3.568281,6.807583
13,6.0,382.705383,414.740448,1.713421,1.454175,2.647675,5.334064,11.599528
13,9.0,382.559265,435.584106,1.339058,1.225155,1.960159,3.533834,7.09169
14,2.0,363.673859,453.990173,1.988088,1.560537,3.055387,6.643912,15.611227
14,3.0,359.342377,456.269623,2.541295,1.563217,3.029037,6.492354,14.9913
14,5.0,359.503082,443.512817,1.032561,1.089308,1.592984,2.629937,4.893923
14,9.0,337.640137,446.057037,1.313371,1.333117,2.32068,4.56065,9.88685
15,2.0,316.475983,483.764954,0.960066,1.156987,1.848646,3.42305,7.211371
15,6.0,338.843689,494.805267,2.062506,1.579524,3.115824,6.819474,16.082575
16,3.0,342.654968,247.596191,1.583167,1.411594,2.559377,5.222866,11.701296
16,5.0,345.399963,255.033997,1.653222,1.488434,2.808492,5.914742,13.539417
16,8.0,351.659058,246.135681,1.007655,1.160782,1.848962,3.368135,6.907227
17,4.0,388.637482,76.324577,1.251718,1.280141,2.227105,4.444029,9.878294
17,5.0,388.153778,76.627533,1.279076,1.199067,1.860468,3.213943,6.108254
18,4.0,433.984436,208.315811,1.513056,1.425477,2.609634,5.36025,12.029774
18,5.0,432.609802,208.230347,1.328159,1.219236,1.936856,3.463689,6.892554
19,4.0,354.735779,493.71582,2.39624,1.632196,3.280377,7.267029,17.267187
19,7.0,366.625427,497.550201,3.707826,1.789842,3.803624,8.794593,21.59207
20,5.0,265.50351,216.076752,1.173675,1.186777,1.827928,3.107299,5.742437
20,9.0,244.431595,201.918015,1.024924,1.023642,1.412814,2.170591,3.752618
20,13.0,256.978394,203.746399,1.27313,1.296602,2.224347,4.321687,9.270203
21,5.0,471.724091,418.262115,1.188866,1.18992,1.85087,3.230524,6.245262
21,9.0,475.85553,445.177002,1.486607,1.338632,2.327271,4.5574,9.810464
21,12.0,477.256195,446.623077,1.571616,1.149907,1.772579,3.09798,6.091339
21,16.0,486.729767,440.433899,1.138439,1.186374,1.87607,3.381263,6.869919
22,6.0,409.675873,18.566578,1.450751,1.240259,1.975556,3.519495,6.92708
22,10.0,402.220093,31.472197,1.418251,1.348758,2.371013,4.714179,10.355825
