Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,181.427795,199.493607,4.087976,1.620802,3.147971,6.665619,15.04611
1,1.0,181.213684,199.752579,4.146564,1.688973,3.408556,7.506972,17.627344
1,2.0,181.071518,199.554352,4.115986,1.709311,3.4771,7.702154,18.152502
1,3.0,180.794128,199.80397,2.517745,1.426984,2.563488,5.11036,11.040963
1,4.0,181.352692,199.745743,3.915206,1.606264,3.141215,6.756255,15.599934
1,5.0,181.245941,199.861542,4.049424,1.709963,3.492548,7.783143,18.482721
1,6.0,181.083557,199.535385,4.324142,1.768831,3.694987,8.379816,20.157974
1,7.0,180.291519,199.536957,3.414711,1.544327,2.932399,6.134379,13.806566
1,8.0,179.986206,199.559036,3.033877,1.451763,2.606222,5.147962,10.941504
1,9.0,180.338104,199.574219,3.526487,1.508919,2.808467,5.768995,12.775418
1,10.0,180.347733,199.558441,4.2225,1.575302,2.990569,6.20423,13.761127
1,11.0,180.466614,199.759262,3.952598,1.58208,3.024827,6.330037,14.180964
1,12.0,180.086884,199.630127,3.603992,1.508049,2.805395,5.757643,12.730254
1,13.0,180.208649,199.786072,3.865573,1.505366,2.767923,5.588299,12.127162
1,14.0,180.289917,199.82605,4.016945,1.583733,3.035863,6.378676,14.365899
1,15.0,180.039139,199.524002,3.516854,1.498099,2.747154,5.529677,11.949823
1,16.0,180.281708,199.636276,2.567991,1.425277,2.533277,4.959393,10.449926
1,17.0,180.3134,199.454651,3.704463,1.588643,3.055877,6.437451,14.515463
1,18.0,180.75351,199.817413,3.665767,1.508041,2.77651,5.603598,12.124185
1,19.0,180.049423,199.843124,3.345805,1.548323,2.951689,6.207761,14.054029
1,20.0,180.024658,199.812241,3.372292,1.57823,3.075355,6.623995,15.367596
1,21.0,180.431656,200.06456,2.866524,1.480367,2.736546,5.593775,12.335563
1,22.0,180.161652,199.728775,3.75787,1.542847,2.904984,6.006818,13.335209
1,23.0,180.395523,199.731171,3.207364,1.470755,2.685347,5.415262,11.781943
1,24.0,180.413361,199.594437,4.030944,1.617422,3.146341,6.688809,15.193762
1,25.0,180.1884,199.748734,3.726708,1.535848,2.888504,5.982085,13.336606
1,26.0,180.312485,199.630127,4.038249,1.631814,3.196669,6.833106,15.576274
1,27.0,180.598389,199.550491,4.102437,1.60026,3.096825,6.561301,14.870289
1,28.0,180.421127,199.359711,2.986683,1.423121,2.501674,4.824443,9.995771
1,29.0,180.123932,199.65213,3.55369,1.483396,2.689886,5.336173,11.324822
1,30.0,180.189789,199.589264,3.447328,1.535639,2.893797,6.008542,13.435121
1,31.0,180.431976,199.546188,3.794379,1.580478,3.031564,6.381916,14.41705
1,32.0,180.281387,199.810211,3.629022,1.521737,2.83794,5.822908,12.848052
1,33.0,180.427811,199.893921,3.644214,1.649178,3.29728,7.234868,16.997196
1,34.0,180.743286,199.79039,3.319024,1.527771,2.881317,5.995264,13.432307
1,35.0,180.477158,199.736633,3.852539,1.545255,2.89649,5.943443,13.061084
1,36.0,180.660751,199.476135,3.815818,1.58188,3.024456,6.320996,14.118568
1,37.0,180.564255,199.442963,4.051613,1.591878,3.054574,6.409061,14.383357
1,38.0,180.582016,199.600647,3.829684,1.586208,3.058852,6.475049,14.700388
1,39.0,180.333008,199.703918,4.053596,1.650384,3.261856,7.032138,16.160675
1,40.0,180.398132,199.444733,3.503193,1.572056,3.005066,6.30182,14.170973
1,41.0,181.367996,199.746307,3.865495,1.620048,3.154279,6.705998,15.214292
1,42.0,181.30365,199.721176,3.994593,1.633312,3.22004,6.959695,16.10784
1,43.0,180.45842,199.722992,4.12871,1.643986,3.244238,6.999667,16.142235
1,44.0,180.346893,199.369522,3.70303,1.570009,2.993925,6.257717,14.0114
1,45.0,180.574783,199.684311,4.043812,1.663581,3.322555,7.256016,16.927822
1,46.0,180.419098,199.608566,3.977326,1.691096,3.42081,7.555305,17.794849
1,47.0,180.26741,199.479568,4.232173,1.727495,3.535803,7.868129,18.606617
1,48.0,180.685028,199.436646,4.059948,1.734426,3.578625,8.04003,19.209475
1,49.0,181.265366,199.95871,3.718105,1.640261,3.269219,7.160752,16.808596
1,50.0,180.782776,199.650879,4.249426,1.708491,3.465299,7.646393,17.942739
1,51.0,180.473526,199.577271,4.123329,1.690838,3.405603,7.477061,17.49258
1,52.0,180.49057,199.539566,4.255482,1.706844,3.464577,7.659804,18.027767
1,53.0,180.639389,200.123123,4.245811,1.746151,3.622817,8.180169,19.630013
1,54.0,180.522446,199.716522,3.994228,1.633484,3.213955,6.917777,15.916939
1,55.0,180.566666,199.473175,4.141448,1.631126,3.186048,6.790226,15.445407
1,56.0,181.072083,199.460175,3.831662,1.732032,3.577285,8.05097,19.274042
1,57.0,181.173264,199.412216,4.473262,1.806113,3.821772,8.753642,21.225735
1,58.0,180.656387,199.247589,3.933854,1.591966,3.06749,6.475234,14.637785
1,59.0,180.817566,199.242325,3.522571,1.51087,2.806865,5.742391,12.645603
1,60.0,180.36647,199.37616,3.788911,1.574161,2.989178,6.193065,13.686754
1,61.0,180.654785,199.512711,3.773027,1.48899,2.688442,5.294046,11.135526
1,62.0,180.304672,199.663757,4.12062,1.61009,3.108198,6.54184,14.681876
1,63.0,180.267593,199.623932,3.995405,1.654661,3.28702,7.135713,16.539677
1,64.0,180.212036,199.703964,4.363001,1.659017,3.288929,7.112283,16.403404
1,65.0,181.222351,199.610016,4.074964,1.607361,3.108364,6.567403,14.822408
1,66.0,180.757065,199.631119,4.123277,1.667741,3.328469,7.248012,16.829834
1,67.0,181.172852,199.687561,3.922813,1.589053,3.066547,6.498187,14.775128
1,68.0,180.45137,199.711029,4.394215,1.661299,3.290354,7.100542,16.330288
1,69.0,180.530563,199.809784,4.306281,1.689597,3.411769,7.522999,17.697678
1,70.0,180.572906,199.650101,4.23298,1.710077,3.471092,7.665374,18.004164
1,71.0,180.688477,200.228653,4.22515,1.688962,3.401679,7.470114,17.483461
1,72.0,180.85405,199.635468,3.959605,1.631634,3.211828,6.917832,15.92349
1,73.0,180.476013,199.736191,4.049864,1.587638,3.043893,6.378319,14.281375
1,74.0,180.753601,199.732407,3.918582,1.594394,3.079285,6.520982,14.797991
1,75.0,181.148407,199.688599,3.68955,1.568859,2.983219,6.21199,13.848579
1,76.0,180.877853,199.803726,3.90579,1.558802,2.954097,6.141569,13.695084
1,77.0,180.391602,199.605026,3.884213,1.606593,3.121954,6.648469,15.166865
1,78.0,180.383133,199.522919,3.951313,1.587006,3.035118,6.344487,14.18282
1,79.0,180.642334,199.76619,3.650733,1.524893,2.83477,5.778302,12.636957
1,80.0,180.576736,199.532471,3.90751,1.600501,3.094555,6.540446,14.76171
1,81.0,180.27359,199.656845,2.865088,1.409603,2.471071,4.775817,9.963103
1,82.0,180.38887,199.715302,3.99174,1.618141,3.162011,6.760437,15.446416
1,83.0,180.452133,199.653259,3.446618,1.524173,2.86195,5.936423,13.296667
1,84.0,180.670609,199.722656,3.895576,1.59376,3.078028,6.51602,14.777717
1,85.0,180.591614,199.561813,3.615399,1.563433,2.995949,6.329621,14.397523
