Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,112.141991,85.506317,3.965897,1.90917,4.50475,11.90969,34.17157
1,1.0,112.332397,85.200554,3.978614,1.873132,4.378887,11.50188,32.787083
1,2.0,112.277748,85.905632,3.008636,1.898203,4.522765,12.247085,36.362263
1,3.0,112.103104,85.995506,3.143547,2.049881,5.263028,15.191921,47.439651
1,4.0,111.605637,85.438499,3.518898,1.874108,4.362113,11.419375,32.559879
1,5.0,111.152527,85.401062,4.026758,1.899345,4.484459,11.863434,33.987335
1,6.0,110.377754,85.449104,3.809672,1.892964,4.429483,11.599238,32.895012
1,7.0,111.878502,86.027695,3.162777,1.749024,3.837326,9.517227,25.874424
1,8.0,113.060509,85.667236,4.275602,1.943256,4.616205,12.205382,34.798
1,9.0,112.579132,86.508629,2.742777,1.831043,4.20414,10.954995,31.322025
1,10.0,113.513321,86.581123,3.283315,1.82615,4.14821,10.576707,29.323055
1,11.0,113.785942,85.561813,3.174326,1.77754,3.910156,9.685369,26.308603
1,12.0,113.302467,85.627693,2.822442,1.773728,3.871739,9.403346,24.677526
1,13.0,113.182655,86.062584,2.933967,1.6697,3.52863,8.49744,22.628214
1,14.0,113.523468,85.957886,2.648167,1.790742,4.071751,10.49253,29.595568
1,16.0,112.358536,86.220032,2.710463,1.733517,3.73706,9.037045,23.808708
1,17.0,113.707619,85.688927,3.195651,1.910634,4.447859,11.551712,32.568119
1,18.0,113.829575,86.303528,2.781394,1.882184,4.407299,11.64726,33.582375
1,19.0,113.2948,86.353706,3.462792,1.882931,4.435201,11.789504,34.16798
1,20.0,113.60054,85.660759,2.683586,1.669557,3.552341,8.647747,23.42873
1,22.0,113.085213,86.08316,1.977746,1.734487,4.013627,10.821706,32.424351
1,23.0,113.901649,86.212669,2.822757,1.766725,3.934171,9.868654,26.958099
1,25.0,112.859009,86.529488,3.020506,1.741214,3.790206,9.287119,24.861818
1,26.0,113.161819,86.678406,3.17362,1.678641,3.533968,8.392639,21.867834
1,28.0,112.8088,86.219513,2.613588,1.86564,4.466508,12.21208,36.627022
1,29.0,113.471191,85.88131,3.616762,1.614862,3.290113,7.619229,19.584627
1,30.0,113.312248,86.028549,3.654563,1.866571,4.326077,11.256027,31.847811
1,31.0,113.29657,86.302689,2.690561,1.745403,3.799348,9.330064,25.117821
1,32.0,112.699226,86.538506,2.644665,1.725309,3.653577,8.679208,22.596169
1,34.0,113.921577,86.451668,2.123543,1.596292,3.234897,7.484402,19.252851
1,37.0,112.853302,85.731438,3.288278,1.998955,4.962459,13.857514,42.028667
1,38.0,112.130722,86.035561,3.120805,1.804664,4.064747,10.298639,28.438967
1,39.0,112.82473,85.927856,3.055949,1.687893,3.61508,8.83619,23.931532
1,40.0,113.218559,86.124573,3.23547,1.774706,4.045292,10.546685,30.293446
1,41.0,112.605865,86.296844,2.702825,1.705327,3.79852,9.793448,28.103388
1,42.0,112.546616,85.677452,3.041217,1.919537,4.59901,12.389417,36.264145
1,43.0,112.810104,86.424469,2.696155,1.709962,3.668804,8.939463,24.048002
1,45.0,112.920044,86.096603,3.379607,1.909674,4.482276,11.782913,33.66547
1,46.0,112.136459,86.197113,2.201992,1.682538,3.612695,8.850282,23.990982
