Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,187.499084,96.878807,3.190307,1.449008,2.616665,5.22561,11.28289
1,1.0,188.187592,96.572586,3.436317,1.575853,3.014311,6.330162,14.275729
1,2.0,186.815536,97.450676,2.408683,1.474135,2.724052,5.590095,12.431215
1,3.0,186.452927,94.51841,1.942298,1.43785,2.573792,5.090083,10.888853
1,4.0,185.839264,93.275581,2.861789,1.471257,2.680651,5.381972,11.637011
1,5.0,184.413971,94.161263,2.657218,1.481557,2.729261,5.554605,12.190196
1,6.0,182.623489,95.214371,2.265015,1.440629,2.607532,5.237346,11.407512
1,7.0,183.48056,96.701141,2.737328,1.564625,3.015314,6.405556,14.622622
1,8.0,182.923004,96.48819,2.075843,1.588921,3.188143,7.119433,17.16836
1,9.0,185.555954,94.992233,2.589563,1.587373,3.093425,6.640589,15.314342
1,10.0,185.200317,94.418564,3.039425,1.419611,2.513067,4.916717,10.408552
1,11.0,182.619446,95.379776,2.948675,1.457493,2.686657,5.524735,12.354583
1,12.0,182.645172,96.292595,3.23803,1.551506,2.986769,6.366812,14.654099
1,13.0,179.699768,95.367104,2.642087,1.59366,3.10901,6.655879,15.253896
1,14.0,181.392807,94.752907,3.179486,1.438048,2.594064,5.195621,11.290693
1,15.0,180.632111,95.296761,2.681019,1.507488,2.859732,6.041086,13.839133
1,16.0,181.322464,93.47226,2.655325,1.46353,2.650914,5.30317,11.467595
1,17.0,181.070999,94.258614,2.429872,1.446753,2.680456,5.573854,12.662819
1,18.0,182.204788,93.052422,2.237589,1.53602,2.959137,6.334789,14.655628
1,19.0,180.902893,91.984085,2.808267,1.628357,3.243656,7.115914,16.758047
1,20.0,180.541626,92.230064,2.179496,1.567867,3.012121,6.364236,14.433283
1,21.0,180.808578,96.067459,2.969851,1.461946,2.670716,5.422555,11.956443
1,22.0,182.105652,96.797127,2.047915,1.359164,2.348837,4.525454,9.52009
1,23.0,179.83075,97.617874,2.355817,1.620072,3.192678,6.926543,16.135904
1,25.0,183.71701,98.055428,2.445158,1.352372,2.35233,4.585176,9.779036
1,26.0,184.217575,96.532959,2.151574,1.516923,2.882472,6.083527,13.894172
1,27.0,186.389801,97.341034,2.76936,1.345035,2.281899,4.292013,8.7853
1,28.0,188.444,98.381317,2.38386,1.446777,2.649397,5.409832,12.01298
1,29.0,187.603058,97.076393,1.664304,1.407725,2.514032,4.996467,10.806259
1,30.0,190.071823,96.436523,2.579393,1.418517,2.505351,4.89334,10.35587
1,31.0,189.289001,97.392731,2.865444,1.429858,2.530141,4.918041,10.271476
1,32.0,190.588058,98.289986,2.924525,1.523106,2.879611,6.020491,13.593831
1,33.0,189.718933,101.795433,3.613419,1.494497,2.754236,5.591141,12.219544
1,34.0,192.347534,102.413971,3.280185,1.433621,2.562171,5.061956,10.822387
1,35.0,194.609055,102.08979,3.694145,1.55491,2.994746,6.383599,14.671802
1,36.0,195.168427,102.905029,2.719822,1.558559,3.014802,6.453868,14.899694
1,37.0,194.496368,104.866402,2.272913,1.595674,3.169973,6.948902,16.33518
1,38.0,196.132477,106.210648,2.80375,1.552076,2.954463,6.193631,13.963634
1,39.0,198.091858,106.355446,1.938839,1.546456,3.042251,6.670958,15.82388
1,41.0,193.454208,109.20668,2.537661,1.490085,2.790535,5.796302,13.00885
1,42.0,192.618622,108.683891,3.384022,1.518944,2.806718,5.676288,12.294765
1,43.0,191.91774,110.641785,2.824766,1.562116,3.008479,6.404299,14.692606
1,44.0,193.714859,110.667503,2.601815,1.509931,2.889369,6.194727,14.466977
1,45.0,194.409164,110.007088,2.516868,1.701604,3.526581,7.999257,19.323814
1,46.0,195.376541,110.761856,3.035618,1.342808,2.269604,4.235635,8.554864
1,47.0,196.019836,110.580002,2.232337,1.483354,2.78439,5.813419,13.126317
1,48.0,196.636322,112.254562,2.874463,1.412534,2.514352,4.982486,10.753156
1,49.0,196.518707,114.377388,2.397851,1.38078,2.444413,4.861362,10.61342
1,50.0,198.085388,116.267242,2.173614,1.461805,2.679662,5.461952,12.094686
1,51.0,195.388031,116.024696,3.004579,1.6501,3.305079,7.264554,17.095057
1,52.0,193.260666,115.117439,2.3119,1.411338,2.5209,5.029995,10.939849
1,53.0,194.327194,114.864128,2.295037,1.51289,2.852934,5.963054,13.485844
1,54.0,196.079468,114.221214,2.002315,1.294048,2.158787,4.024666,8.227745
1,55.0,193.900894,113.45079,2.048979,1.565715,2.966439,6.158482,13.69231
1,56.0,194.432846,111.419365,2.751601,1.572927,3.030395,6.445315,14.771106
1,57.0,197.656433,111.428825,2.820722,1.470973,2.654196,5.260772,11.210835
1,58.0,196.685211,110.374245,2.006845,1.52126,2.900642,6.137514,14.022835
1,59.0,196.770279,111.419029,2.510564,1.420465,2.511336,4.898266,10.316837
1,60.0,193.090866,111.670441,2.692721,1.490006,2.77181,5.705472,12.676314
1,61.0,191.397629,109.773895,3.241282,1.450251,2.585379,5.054439,10.604412
2,0.0,227.694748,122.599297,3.37459,1.629282,3.215654,6.973042,16.228294
2,1.0,227.909531,122.259323,3.646011,1.537925,2.906317,6.043156,13.497985
2,2.0,225.080353,121.167656,3.719688,1.53945,2.911994,6.070815,13.618763
2,3.0,226.303497,121.215416,3.946125,1.579831,3.052972,6.493205,14.830794
2,4.0,226.575485,120.324104,4.311736,1.534804,2.862767,5.840587,12.740148
2,5.0,228.657898,119.769867,3.720786,1.532752,2.893566,6.036346,13.593512
2,6.0,228.117737,120.470627,2.773854,1.442541,2.61508,5.272882,11.551126
2,7.0,229.237976,122.424957,3.965099,1.526202,2.861492,5.909945,13.141812
2,8.0,227.661896,121.627396,2.981412,1.472036,2.714143,5.565609,12.393928
2,9.0,226.75415,120.521629,3.230878,1.47912,2.718744,5.525352,12.1354
2,10.0,227.539627,120.024643,3.369401,1.61776,3.193876,6.929805,16.116922
2,11.0,227.574692,121.293724,3.384844,1.555469,2.939743,6.092162,13.540773
2,12.0,230.379913,122.473175,3.696467,1.472874,2.698245,5.470013,11.98901
2,13.0,228.54007,124.086014,3.745997,1.632737,3.219448,6.948843,16.028839
2,14.0,230.426041,124.291855,3.0126,1.513364,2.839791,5.886314,13.161671
2,15.0,232.227753,126.031509,3.648885,1.497236,2.786654,5.745668,12.808636
2,16.0,232.253479,126.385429,2.580796,1.511629,2.862871,6.037145,13.815457
2,17.0,229.889755,126.576775,3.170174,1.533642,2.886294,5.963695,13.205196
2,18.0,228.77478,127.965324,2.757694,1.470177,2.707513,5.536059,12.26603
2,19.0,228.812576,129.277161,3.013503,1.484377,2.738208,5.572682,12.216441
2,20.0,227.665924,127.761749,3.55235,1.484506,2.7362,5.578416,12.28406
2,21.0,228.331161,126.714981,2.153303,1.42821,2.540398,4.989578,10.598018
2,22.0,227.552826,129.412079,3.394375,1.515983,2.81624,5.757687,12.678728
2,23.0,229.243668,129.51152,3.506257,1.63108,3.261103,7.182963,16.982368
2,24.0,231.553253,129.01741,3.142302,1.454741,2.64209,5.321248,11.619748
2,25.0,230.381317,128.829391,3.273253,1.472545,2.691427,5.428041,11.800447
2,26.0,229.479919,126.642342,3.303801,1.470415,2.648881,5.22859,11.066688
2,27.0,228.359009,124.665634,3.277392,1.480767,2.694732,5.384549,11.556222
2,28.0,228.678284,124.897507,4.116638,1.53716,2.902561,6.039096,13.519956
2,29.0,227.791382,125.615578,3.508424,1.62837,3.174994,6.758737,15.362544
2,30.0,229.304169,126.522163,2.739719,1.501474,2.780125,5.65994,12.37134
2,31.0,232.222656,127.432648,3.217859,1.429042,2.524578,4.898993,10.222925
2,32.0,232.553055,125.25386,3.859633,1.490837,2.716319,5.420992,11.593391
