Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,331.619171,0.742566,0.486387,0.699664,0.766062,0.859963,0.99276
1,4.0,315.182007,0.90657,0.554892,0.801485,0.933424,1.133164,1.441939
2,0.0,298.842896,219.730469,1.646384,1.440588,2.606081,5.223369,11.327557
2,1.0,297.964539,222.501511,1.441378,1.395945,2.506881,5.042065,11.063048
2,3.0,293.22583,222.818222,1.90233,1.563477,3.062594,6.674942,15.738338
2,5.0,291.372559,217.942703,2.172499,1.54135,2.97164,6.367753,14.761016
2,6.0,292.236908,217.992996,1.97428,1.519659,2.9329,6.317875,14.75781
2,9.0,293.707397,220.621231,2.336875,1.440331,2.568787,5.036914,10.628834
2,10.0,290.034241,221.634491,2.037726,1.604143,3.182379,6.992113,16.540205
2,11.0,288.576233,222.238098,2.74142,1.537631,2.944488,6.253555,14.351727
2,12.0,289.533325,224.526154,3.295068,1.545777,2.905957,5.984407,13.200489
2,13.0,292.157745,227.455521,2.529563,1.590425,3.13763,6.857642,16.165224
2,14.0,294.576111,229.72963,2.562124,1.561316,2.971525,6.207969,13.909781
2,15.0,293.415192,232.007645,2.077347,1.448805,2.627215,5.270174,11.416408
2,16.0,297.578644,231.667053,1.867091,1.56112,2.98545,6.272907,14.147243
2,17.0,297.792236,229.679733,2.363637,1.555465,2.982738,6.312397,14.394082
2,18.0,295.286743,230.270126,2.93696,1.46092,2.6579,5.352654,11.663366
2,19.0,294.253815,227.86647,2.895832,1.584976,3.089765,6.646479,15.38001
2,20.0,294.906219,226.510666,2.693824,1.56242,2.975411,6.217466,13.930987
2,22.0,295.886475,226.436111,2.275671,1.574243,3.098339,6.784745,16.073915
2,23.0,297.644287,227.626617,2.61672,1.606352,3.143887,6.757119,15.566749
2,24.0,300.398438,222.459671,1.769221,1.561631,2.99922,6.344898,14.428723
2,25.0,302.984314,219.489319,2.504568,1.611188,3.193482,6.964171,16.271233
2,26.0,301.974976,218.385376,3.255683,1.640922,3.267191,7.133627,16.657194
2,27.0,303.215454,218.451721,3.286268,1.651106,3.325287,7.365166,17.478769
2,28.0,305.515015,217.336197,2.96107,1.532772,2.889422,6.010569,13.482938
2,29.0,302.681122,216.93042,2.281417,1.523065,2.890364,6.076711,13.797302
2,30.0,302.448608,216.360718,3.049891,1.562994,2.982005,6.244368,14.020911
2,31.0,307.69754,214.328629,3.213281,1.727447,3.549705,7.933373,18.838547
2,32.0,309.106506,212.553711,2.011623,1.543697,2.951701,6.243366,14.242004
2,33.0,306.554749,214.446304,2.748056,1.661652,3.292938,7.105204,16.314972
2,34.0,303.297333,213.709045,3.371046,1.640775,3.27141,7.158639,16.767097
2,36.0,291.355255,213.466507,2.691757,1.719455,3.552209,8.024439,19.335226
2,37.0,291.453339,216.567764,2.400564,1.679592,3.376303,7.399564,17.263041
2,39.0,294.530151,219.716553,1.491971,1.307054,2.204237,4.177032,8.717234
2,40.0,298.692657,223.656143,1.522763,1.450193,2.6438,5.356836,11.769518
2,41.0,296.833618,222.414917,2.695455,1.549731,2.970856,6.30034,14.419844
2,42.0,296.108124,221.723679,2.055704,1.536304,2.953684,6.286234,14.41013
2,43.0,297.414307,227.312851,2.660541,1.527192,2.860427,5.885749,12.989796
2,44.0,299.774261,231.360596,1.888143,1.555852,2.980423,6.311575,14.41581
2,46.0,299.99527,228.072495,3.227453,1.747005,3.687349,8.502792,20.856014
2,47.0,301.825256,231.025146,2.762639,1.575134,3.057181,6.549538,15.100121
2,48.0,302.727051,230.894058,2.503493,1.723038,3.556719,8.004623,19.155043
2,49.0,299.93045,230.027985,2.516064,1.57536,3.078753,6.639826,15.380786
2,52.0,288.771057,241.708725,3.721079,1.707511,3.497427,7.825416,18.663065
2,53.0,284.468658,240.336472,1.914816,1.57545,3.054113,6.525861,14.983711
2,54.0,283.097778,240.732727,2.064072,1.477054,2.73621,5.630608,12.56144
2,55.0,284.18045,242.693039,2.791425,1.534285,2.875294,5.906463,13.003524
2,56.0,282.466278,241.317032,3.409158,1.647506,3.267864,7.096998,16.488651
2,57.0,280.360748,242.247498,3.656507,1.646444,3.266513,7.092701,16.456213
2,58.0,281.602448,243.467224,3.588261,1.649614,3.278872,7.135047,16.603737
2,60.0,280.705139,244.405014,1.477651,1.368919,2.441258,4.931453,11.005712
2,63.0,275.402893,241.575287,1.770287,1.372718,2.396611,4.656424,9.851904
3,0.0,360.093781,253.781891,2.258828,1.721436,3.598045,8.251639,20.196173
3,1.0,359.239594,254.53566,3.118955,1.886408,4.137346,9.788007,24.42469
3,4.0,358.249847,254.557327,3.119268,1.871737,4.092886,9.666581,24.099134
4,0.0,356.840607,254.827164,2.954306,1.833383,3.961416,9.275435,22.972918
4,1.0,356.745972,255.353592,3.159257,1.842998,3.968594,9.236922,22.719118
4,2.0,357.560822,255.325073,3.594338,1.804792,3.812929,8.719582,21.111431
4,3.0,356.039459,255.527588,2.948391,1.765224,3.709995,8.488148,20.623459
4,4.0,356.059174,255.448929,2.541343,1.754162,3.681911,8.430211,20.533995
4,5.0,356.729095,254.986038,3.648738,1.851564,4.00379,9.353682,23.079473
4,6.0,356.676331,255.149582,3.527729,1.784616,3.774427,8.682773,21.209042
4,7.0,356.841431,255.988068,2.84913,1.751229,3.659966,8.327946,20.119566
4,8.0,356.049988,254.604172,2.780182,1.771442,3.72903,8.531565,20.703381
4,9.0,356.654633,254.782349,3.226552,1.849588,3.99918,9.350171,23.107449
4,10.0,356.812561,255.29007,3.356813,1.778893,3.73765,8.526785,20.631229
4,11.0,357.620667,256.152496,3.074623,1.844438,3.979524,9.27356,22.8092
4,12.0,356.728546,255.503082,3.263382,1.845796,3.970201,9.217911,22.595675
4,13.0,358.151337,254.873703,3.463194,1.764181,3.698837,8.447298,20.50919
4,14.0,356.066284,255.4328,2.99158,1.753843,3.676302,8.406981,20.454754
4,15.0,356.708313,255.35643,3.706558,1.876451,4.073821,9.522497,23.461639
4,16.0,356.765503,255.40834,3.545393,1.822433,3.882714,8.945003,21.790762
4,17.0,356.828766,255.436508,3.39788,1.816539,3.866373,8.912787,21.756638
4,18.0,357.406708,256.171814,2.782739,1.852609,4.018116,9.418301,23.310802
4,19.0,357.037292,255.435684,3.077041,1.758333,3.668764,8.325209,20.064936
4,20.0,357.471558,254.998856,3.217137,1.681128,3.403811,7.547373,17.883316
4,21.0,357.799438,255.127304,3.086079,1.58884,3.072017,6.521904,14.842955
4,22.0,356.739655,256.108276,3.168034,1.778764,3.742142,8.553288,20.749573
4,23.0,358.2052,256.246307,2.858191,1.873357,4.117603,9.789001,24.580286
4,25.0,357.441711,255.228104,3.251477,1.772389,3.699753,8.375154,20.09383
4,26.0,357.400909,255.491562,2.428214,1.464369,2.67095,5.403862,11.855714
4,29.0,357.038208,255.650116,2.394856,1.623973,3.226912,7.05936,16.559347
4,32.0,357.418457,254.775177,3.755061,1.743689,3.587128,7.999742,18.906225
4,33.0,357.621338,255.480515,3.093659,1.591999,3.093601,6.609518,15.144882
4,34.0,356.938812,255.3909,3.486404,1.764732,3.688976,8.380131,20.203615
4,35.0,357.581482,255.47113,3.818611,1.751924,3.624638,8.136213,19.367155
4,36.0,357.025299,255.579071,3.419485,1.713359,3.529602,7.959071,19.159405
4,37.0,357.276642,255.248428,3.455789,1.638131,3.238591,7.010846,16.222118
4,38.0,356.88913,255.393555,3.32147,1.68308,3.394888,7.47252,17.526443
4,39.0,357.01355,255.318283,3.148208,1.770506,3.727144,8.539061,20.776178
4,40.0,357.038544,255.324203,3.149616,1.637156,3.241509,7.03238,16.311262
4,41.0,356.731812,255.557007,3.255565,1.78578,3.748248,8.531897,20.592983
4,42.0,356.948456,255.428772,3.547512,1.783646,3.760897,8.614742,20.936247
4,43.0,357.021881,255.377747,3.35884,1.802239,3.816455,8.752181,21.242638
4,44.0,356.681488,255.413345,3.513361,1.799196,3.784017,8.603108,20.685791
4,45.0,358.304626,254.92218,2.96625,1.7869,3.786406,8.72283,21.321476
4,46.0,357.491852,255.357101,3.976657,1.830327,3.906849,9.006045,21.934656
4,47.0,356.07608,256.009521,2.45587,1.748576,3.723963,8.693295,21.604364
4,48.0,356.810028,255.549255,3.46015,1.798614,3.794705,8.671538,20.985249
4,49.0,355.829285,255.301086,3.168704,1.805689,3.849324,8.900811,21.796688
4,50.0,357.513275,256.941742,2.815413,1.80662,3.889836,9.099903,22.534388
4,51.0,356.839355,255.377655,3.193614,1.836902,3.943084,9.151604,22.454361
4,53.0,357.19458,254.720337,3.345349,1.690086,3.420386,7.56133,17.834278
4,54.0,355.963318,255.313232,2.822905,1.793357,3.796689,8.718294,21.206102
4,55.0,356.938812,255.353653,3.56281,1.70192,3.465302,7.704694,18.264778
4,56.0,357.329224,255.378876,3.328861,1.781697,3.74813,8.566349,20.781916
4,57.0,357.474945,255.305389,3.63893,1.763332,3.659568,8.235131,19.651203
4,58.0,356.970978,255.436676,3.473902,1.66419,3.326692,7.272558,16.980692
4,59.0,356.848175,255.172577,3.365157,1.751742,3.641771,8.228416,19.72694
4,60.0,356.92337,255.365067,3.311134,1.724842,3.544698,7.943407,18.955725
4,61.0,357.46283,256.120941,3.423645,1.832707,3.938954,9.159545,22.516785
4,62.0,356.846161,255.420074,3.719718,1.820809,3.891903,9.013941,22.11047
4,63.0,356.675842,255.257065,3.296606,1.851628,3.993123,9.291583,22.816967
4,64.0,356.915863,255.173889,3.109915,1.778739,3.755675,8.627395,21.047089
4,65.0,356.733276,255.328369,3.622521,1.84976,3.983894,9.262273,22.739168
4,66.0,358.033142,254.666031,3.449641,1.834756,3.959055,9.260696,22.936892
4,67.0,356.930359,255.227402,3.539272,1.711153,3.495756,7.783391,18.439709
4,68.0,356.988129,254.802567,3.185625,1.716884,3.532283,7.934793,18.988781
4,69.0,356.903992,255.208435,3.363442,1.759852,3.67293,8.336893,20.095705
4,70.0,356.908142,255.0522,3.255117,1.663899,3.343015,7.356168,17.29693
4,71.0,357.606537,255.381226,3.900501,1.757015,3.637635,8.167493,19.447065
4,72.0,357.022858,255.171661,3.404968,1.771326,3.733974,8.568663,20.881098
4,73.0,356.863129,255.303909,3.443357,1.744178,3.602631,8.089372,19.29294
4,74.0,357.384644,255.260651,3.545192,1.803081,3.802191,8.668668,20.901836
4,75.0,355.989014,255.32309,2.934447,1.801529,3.856045,8.972919,22.137989
